,index,circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude
85,1457,HALF MOON BAY,2020-10-14 20:25:00,2020-10-16 14:40:00,2535.0,"HALF MOON BAY, LA HONDA, SAN GREGORIO, WOODSIDE",3.0,730.0,615.0,,,
86,1579,BEN LOMOND,2020-10-25 22:05:00,2020-10-28 08:23:00,3498.0,BEN LOMOND,3.0,747.0,684.0,,,
87,1580,BEN LOMOND,2020-10-25 22:05:00,2020-10-27 21:35:00,2850.0,"BEN LOMOND, BOULDER CREEK, BROOKDALE",3.0,708.0,681.0,,,
88,1587,BIG TREES,2020-10-25 22:07:00,2020-10-26 20:14:00,1327.0,"FELTON, SANTA CRUZ",3.0,860.0,808.0,,,
89,1640,CRESCENT MILLS,2020-10-25 14:11:00,2020-10-27 15:40:00,2969.0,"CRESCENT MILLS, GREENVILLE, TAYLORSVILLE",2.0,560.0,462.0,,,
90,1658,ECHO SUMMIT,2020-10-25 15:48:00,2020-10-27 21:27:00,3219.0,"LITTLE NORWAY, TWIN BRIDGES",2.0,389.0,355.0,,,
91,1660,EL CERRITO G,2020-10-25 20:04:00,2020-10-26 18:07:00,1323.0,BERKELEY,3.0,21.0,4.0,,,
92,1667,FITCH MOUNTAIN,2020-10-25 19:04:00,2020-10-27 11:56:00,2452.0,HEALDSBURG,3.0,568.0,395.0,,,
93,1689,HALF MOON BAY,2020-10-25 22:20:00,2020-10-27 10:51:00,2191.0,"HALF MOON BAY, SAN MATEO, WOODSIDE",3.0,338.0,218.0,,,
94,1690,HALF MOON BAY,2020-10-25 22:00:00,2020-10-27 11:04:00,2224.0,"HALF MOON BAY, LA HONDA, PESCADERO, SAN GREGORIO, WOODSIDE",3.0,1936.0,1495.0,,,
95,1707,JARVIS,2020-10-25 20:53:00,2020-10-27 09:27:00,2194.0,FREMONT,3.0,15.0,4.0,,,
96,1717,LAS AROMAS,2020-10-25 20:01:00,2020-10-27 16:22:00,2661.0,ORINDA,2.0,424.0,413.0,,,
97,1795,PINECREST,2020-10-25 16:01:00,2020-10-27 12:34:00,2673.0,PINECREST,3.0,204.0,175.0,,,
98,1854,SPAULDING,2020-10-25 15:52:00,2020-10-27 18:50:00,3058.0,"EMIGRANT GAP, SODA SPRINGS",3.0,163.0,85.0,,,
99,1869,TAR FLAT,2020-10-25 16:03:00,2020-10-26 14:08:00,1325.0,SONORA,3.0,345.0,336.0,,,
100,1870,TAR FLAT,2020-10-25 16:03:00,2020-10-26 14:54:00,1371.0,SONORA,3.0,482.0,417.0,,,
101,1879,VACA DIXON,2020-10-25 17:23:00,2020-10-26 17:36:00,1453.0,VACAVILLE,2.0,13.0,11.0,,,
102,1904,SCE TEHACHAPI,2020-12-02 17:46:00,2020-12-03 15:50:00,1324.0,TEHACHAPI,2.0,3.0,2.0,,,
103,1920,SCE TEHACHAPI,2021-01-19 02:36:00,2021-01-20 09:16:00,1840.0,TEHACHAPI,2.0,3.0,2.0,,,
104,1922,SO. CAL. EDISON #3,2021-01-19 01:13:00,2021-01-20 11:39:00,2066.0,NORTH FORK,3.0,15.0,14.0,,,
105,1946,CRESCENT MILLS,2021-08-17 18:52:00,2021-08-18 11:26:00,994.0,PLUMAS,2.0,92.0,79.0,,,
106,2013,VACA DIXON,2021-08-17 18:26:00,2021-08-18 16:36:00,1330.0,SOLANO,2.0,384.0,336.0,,,
107,2031,SCE TEHACHAPI,2021-09-21 01:09:00,2021-09-21 16:06:00,897.0,KERN,2.0,3.0,2.0,,,
108,2121,VACA DIXON,2021-10-11 07:01:00,2021-10-12 14:58:00,1917.0,SOLANO,2.0,6.0,4.0,,,
109,2122,VACA DIXON,2021-10-11 07:33:00,2021-10-12 14:31:00,1858.0,SOLANO,2.0,61.0,54.0,,,
110,2134,SCE TEHACHAPI,2021-10-15 01:16:00,2021-10-15 14:26:00,790.0,KERN,2.0,3.0,2.0,,,
