Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
LOW GAP 1101*,10/15/2020 17:17,10/16/2020 11:35,"BRIDGEVILLE,
MAD RIVER, RUTH",Tier 2,225,195,30,8,0
MADISON 2101*,10/14/2020 18:04,10/16/2020 12:23,"CAPAY, ESPARTO",Tier 2,10,0,10,0,0
MENLO 1102*,10/14/2020 20:05,10/16/2020 16:26,"LA HONDA,
REDWOOD CITY,
WOODSIDE",Tier 2,110,94,15,5,1
MENLO 1103*,10/14/2020 20:01,10/16/2020 18:08,"LA HONDA, LOMA
MAR, LOS GATOS,
PESCADERO",Tier 2,425,321,101,14,3
MIDDLETOWN 1101*,10/14/2020 18:11,10/17/2020 6:20,"CALISTOGA,
MIDDLETOWN",Tier 3,54,36,17,2,1
MILPITAS 1109*,10/14/2020 21:00,10/15/2020 14:31,"MILPITAS, SAN
JOSE, SUNOL","Partially
Outside
HFTD,
Tier 2",311,236,66,12,9
MONTICELLO 1101*,10/14/2020 18:07,10/16/2020 19:40,"NAPA, SUISUN
CITY","Partially
Outside
HFTD,
Tier 2",444,370,45,29,29
MORAGA 1105*,10/14/2020 23:05,10/15/2020 17:03,"CANYON, ORINDA",Tier 3,9,7,2,0,0
NAPA 1112*,10/14/2020 18:08,10/16/2020 13:02,NAPA,"Partially
Outside
HFTD,
Tier 2",303,252,32,18,19
NORTH DUBLIN 2103*,10/14/2020 20:00,10/16/2020 11:37,"LIVERMORE,
PLEASANTON",Tier 2,75,60,10,3,5
NOTRE DAME 1104*,10/14/2020 18:05,10/16/2020 12:36,"CHICO, FOREST
RANCH","Tier 3,
Tier 2",218,190,25,12,3
OAKLAND K 1102*,10/14/2020 23:09,10/15/2020 16:16,"OAKLAND, ORINDA",Tier 3,1392,1338,54,58,0
OAKLAND K 1104*,10/14/2020 23:02,10/15/2020 19:23,OAKLAND,"Tier 3,
Tier 2",2134,1876,258,80,0
OAKLAND X 1104*,10/14/2020 23:08,10/15/2020 16:16,OAKLAND,Tier 3,1395,1357,38,59,0
OAKLAND X 1106*,10/14/2020 23:05,10/15/2020 16:30,OAKLAND,"Tier 3,
Tier 2",146,125,21,4,0
OREGON TRAIL 1103*,10/14/2020 19:19,10/16/2020 12:06,BELLA VISTA,Tier 2,236,224,10,24,2
ORO FINO 1101,10/14/2020 18:11,10/16/2020 20:49,MAGALIA,Tier 3,2290,2214,70,274,6
ORO FINO 1102,10/14/2020 18:11,10/16/2020 20:49,"BUTTE MEADOWS,
FOREST RANCH,
MAGALIA,
STIRLING CITY","Tier 3,
Tier 2",1975,1840,123,165,12
OTTER 1101*,10/14/2020 20:00,10/17/2020 10:57,"CARMEL,
MONTEREY",Tier 3,137,128,9,6,0
OTTER 1102*,10/14/2020 20:06,10/15/2020 14:58,BIG SUR,"Partially
Outside
HFTD,
Tier 3,
Tier 2",497,342,142,3,13
PANORAMA 1102*,10/14/2020 19:17,10/16/2020 15:33,ANDERSON,"Partially
Outside
HFTD,
Tier 2",72,55,11,10,6
PARADISE 1103*,10/14/2020 18:06,10/16/2020 15:09,PARADISE,"Partially
Outside
HFTD,
Tier 3",249,236,13,25,0
PARADISE 1104,10/14/2020 18:06,10/16/2020 15:09,PARADISE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1900,1698,200,137,2
PARADISE 1105,10/14/2020 18:06,10/16/2020 12:09,"MAGALIA,
PARADISE","Partially
Outside
HFTD,
Tier 3",1396,1163,232,100,1
PARADISE 1106,10/14/2020 18:07,10/16/2020 11:50,PARADISE,"Partially
Outside
HFTD,
Tier 3",423,366,57,23,0
PIT NO 7 1101,10/14/2020 19:41,10/16/2020 14:54,"MONTGOMERY
CREEK, ROUND
MOUNTAIN",Tier 2,2,1,1,0,0
PUEBLO 1104*,10/14/2020 18:11,10/16/2020 17:54,NAPA,"Partially
Outside
HFTD,
Tier 2",265,190,54,14,21
PUEBLO 1105*,10/14/2020 18:13,10/16/2020 17:22,NAPA,"Partially
Outside
HFTD,
Tier 2",434,293,82,27,59
PUEBLO 2102*,10/14/2020 19:22,10/16/2020 16:48,NAPA,Tier 3,72,54,16,2,2
PUEBLO 2103*,10/14/2020 18:07,10/16/2020 18:20,NAPA,Tier 3,35,20,10,1,5
RINCON 1103*,10/14/2020 18:21,10/16/2020 10:40,SANTA ROSA,Tier 3,20,18,2,1,0
ROB ROY 2104*,10/14/2020 20:21,10/15/2020 15:07,WATSONVILLE,Tier 3,89,78,10,6,1
SILVERADO 2102,10/14/2020 18:45,10/16/2020 18:17,"NAPA, OAKVILLE,
RUTHERFORD,
SAINT HELENA,
YOUNTVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",690,322,226,8,142
SILVERADO 2104*,10/14/2020 18:06,10/16/2020 22:13,"ANGWIN,
CALISTOGA, POPE
VALLEY, SAINT
HELENA","Partially
Outside
HFTD,
Tier 3,
Tier 2",1010,871,83,44,56
SILVERADO 2105*,10/14/2020 18:29,10/16/2020 14:16,"CALISTOGA, SAINT
HELENA","Partially
Outside
HFTD,
Tier 3,
Tier 2",179,119,39,7,21
SONOMA 1102*,10/14/2020 18:29,10/16/2020 13:05,SONOMA,"Partially
Outside
HFTD,
Tier 3",153,139,7,6,7
SONOMA 1103*,10/14/2020 18:13,10/16/2020 12:00,SONOMA,"Partially
Outside
HFTD,
Tier 3",311,282,17,14,12
SONOMA 1105*,10/14/2020 18:15,10/16/2020 13:02,SONOMA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",379,320,28,22,31
SONOMA 1106*,10/14/2020 18:09,10/16/2020 12:28,SONOMA,"Partially
Outside
HFTD,
Tier 3",95,59,35,1,1
STELLING 1110*,10/14/2020 20:21,10/15/2020 19:28,LOS GATOS,Tier 3,200,181,18,3,1
STILLWATER 1101*,10/14/2020 19:17,10/16/2020 13:01,REDDING,"Partially
Outside
HFTD,
Tier 2",36,5,31,0,0
STILLWATER 1102*,10/14/2020 19:09,10/16/2020 14:43,REDDING,"Partially
Outside
HFTD,
Tier 2",724,691,33,58,0
"SYCAMORE CREEK
1111*",10/14/2020 18:07,10/16/2020 16:32,"CHICO, COHASSET","Partially
Outside
HFTD,
Tier 3,
Tier 2",508,460,44,32,4
TASSAJARA 2103*,10/14/2020 20:15,10/15/2020 16:43,"DANVILLE, DIABLO","Partially
Outside
HFTD,
Tier 3,
Tier 2",192,189,3,10,0
TASSAJARA 2104*,10/14/2020 20:06,10/16/2020 12:03,PLEASANTON,"Partially
Outside
HFTD,
Tier 3,
Tier 2",106,91,15,7,0
TASSAJARA 2112*,10/14/2020 20:07,10/16/2020 11:36,WALNUT CREEK,Tier 3,25,13,12,1,0
TULUCAY 1101*,10/14/2020 18:09,10/16/2020 12:02,"AMERICAN
CANYON",Tier 2,1,1,0,0,0
VOLTA 1101,10/14/2020 19:11,10/16/2020 17:55,"MANTON, MILL
CREEK, MINERAL,
PAYNES CREEK,
RED BLUFF,
SHINGLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1287,1078,175,62,34
VOLTA 1102,10/14/2020 19:09,10/16/2020 16:17,SHINGLETOWN,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2572,2388,173,228,11
WOODSIDE 1101*,10/14/2020 20:00,10/16/2020 14:08,WOODSIDE,"Tier 3,
Tier 2",74,64,9,5,1
WYANDOTTE 1105,10/14/2020 18:20,10/16/2020 16:18,OROVILLE,"Partially
Outside
HFTD",1,1,0,1,0
