circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_pop,median_age,median_income,white_pct,tmin_d-4,tmax_d-4,wspd_d-4,tmin_d-3,tmax_d-3,wspd_d-3,tmin_d-2,tmax_d-2,wspd_d-2,tmin_d-1,tmax_d-1,wspd_d-1,tmin_d-0,tmax_d-0,wspd_d-0
BUTTE,2020-09-27 04:20:00,2020-09-28 14:20:00,2040.0,CHICO,3.0,271.0,249.0,95928,-121.813357076893,39.7122064481817,True,38655.0,32.0,56204.0,0.824550510930022,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
CALISTOGA,2020-09-27 19:00:00,2020-09-28 14:30:00,1170.0,CALISTOGA,3.0,173.0,128.0,94515,-122.578610444001,38.592088042243,True,7525.0,47.7,85263.0,0.7918936877076412,10.0,28.9,6.4,11.7,28.9,9.0,9.4,30.0,7.0,15.0,33.3,18.2,,,
CHALLENGE,2020-09-27 18:19:00,2020-09-28 16:47:00,1348.0,"CHALLENGE, CLIPPER MILLS, LA PORTE, STRAWBERRY VALLEY",3.0,666.0,575.0,95925,-121.22031867914,39.4852592580312,True,261.0,27.8,21786.0,0.6283524904214559,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
CHALLENGE,2020-09-27 18:27:00,2020-09-28 15:07:00,1240.0,"BROWNSVILLE, CHALLENGE, DOBBINS, FORBESTOWN",3.0,826.0,723.0,95925,-121.22031867914,39.4852592580312,True,261.0,27.8,21786.0,0.6283524904214559,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
CLARK ROAD,2020-09-27 04:05:00,2020-09-28 17:02:00,2217.0,"OROVILLE, PARADISE",3.0,663.0,585.0,95965,-121.635508221299,39.6545213308009,True,20681.0,37.0,35668.0,0.6508389342875103,12.0,24.1,7.3,8.1,25.4,5.8,9.0,24.2,4.6,9.8,22.5,6.3,,,
COLUMBIA HILL,2020-09-27 18:29:00,2020-09-28 16:03:00,1294.0,"CAMPTONVILLE, NEVADA CITY, NORTH SAN JUAN",3.0,229.0,201.0,95959,-121.101350327222,39.331840213781,True,17838.0,55.0,70975.0,0.9192174010539298,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
DESCHUTES,2020-09-27 18:49:00,2020-09-28 09:28:00,879.0,SHINGLETOWN,3.0,170.0,167.0,96073,-122.239804775683,40.5553528308284,True,4538.0,49.5,101576.0,0.9301454385191714,13.9,31.1,5.8,15.6,29.4,4.3,15.0,31.1,3.6,16.1,33.3,9.7,,,
DIAMOND SPRINGS,2020-09-27 18:15:00,2020-09-28 11:53:00,1058.0,PLACERVILLE,3.0,677.0,635.0,95667,-120.825894807298,38.6934122861058,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
DIAMOND SPRINGS,2020-09-27 18:06:00,2020-09-28 16:00:00,1314.0,"DIAMOND SPRINGS, PLACERVILLE",2.0,1678.0,1601.0,95667,-120.825894807298,38.6934122861058,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
DOBBINS,2020-09-27 18:19:00,2020-09-28 12:39:00,1100.0,"CAMPTONVILLE, DOBBINS, OREGON HOUSE",3.0,478.0,417.0,95935,-121.194927241139,39.3398765153899,True,113.0,62.0,,1.0,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
DRUM,2020-09-27 18:50:00,2020-09-28 14:52:00,1202.0,"ALTA, BAXTER, EMIGRANT GAP",3.0,191.0,143.0,95701,-120.766795738802,39.2566672289509,True,1064.0,58.2,85294.0,0.9229323308270677,19.0,28.0,7.3,13.3,20.6,9.0,13.3,21.7,7.2,15.0,22.2,8.9,,,
EL DORADO PH,2020-09-26 10:17:00,2020-09-28 17:57:00,3340.0,"GRIZZLY FLATS, KYBURZ, PACIFIC HOUSE, PLACERVILLE, POLLOCK PINES, SOMERSET, TWIN BRIDGES",3.0,4570.0,4300.0,95726,-120.621921461011,38.7956054290149,True,8207.0,48.9,75213.0,0.9272572194468137,18.0,28.0,9.6,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,,,
EL DORADO PH,2020-09-27 18:03:00,2020-09-28 15:57:00,1314.0,POLLOCK PINES,3.0,1587.0,1450.0,95726,-120.621921461011,38.7956054290149,True,8207.0,48.9,75213.0,0.9272572194468137,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
FORESTHILL,2020-09-27 18:17:00,2020-09-28 14:25:00,1208.0,FORESTHILL,3.0,2219.0,2072.0,95631,-120.830245241687,39.0193016687429,True,6604.0,51.1,84265.0,0.9600242277407631,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
FORESTHILL,2020-09-27 18:17:00,2020-09-28 13:20:00,1143.0,FORESTHILL,3.0,421.0,399.0,95631,-120.830245241687,39.0193016687429,True,6604.0,51.1,84265.0,0.9600242277407631,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
MIDDLETOWN,2020-09-27 19:11:00,2020-09-28 12:27:00,1036.0,"CALISTOGA, MIDDLETOWN",3.0,113.0,90.0,95461,-122.608722488845,38.7529172124159,True,2714.0,55.1,52314.0,0.9347826086956522,10.0,28.9,6.4,11.7,28.9,9.0,9.4,30.0,7.0,15.0,33.3,18.2,,,
QUARRIES,2020-09-27 18:10:00,2020-09-28 10:34:00,984.0,"GEORGETOWN, GREENWOOD",3.0,282.0,269.0,95614,-121.018982201925,38.9140659675594,True,4446.0,49.5,105919.0,0.9352226720647774,10.0,32.0,0.0,15.0,31.0,1.5,14.0,28.0,0.9,12.0,32.0,5.9,,,
NOTRE DAME,2020-09-27 04:20:00,2020-09-28 12:07:00,1907.0,PARADISE,2.0,6.0,0.0,95928,-121.796365024541,39.73015382806,True,38655.0,32.0,56204.0,0.824550510930022,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
NOTRE DAME,2020-09-27 04:31:00,2020-09-28 13:46:00,1995.0,"CHICO, FOREST RANCH",3.0,221.0,190.0,95928,-121.796365024541,39.73015382806,True,38655.0,32.0,56204.0,0.824550510930022,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
ORO FINO,2020-09-27 04:45:00,2020-09-28 15:15:00,2070.0,MAGALIA,3.0,2287.0,2211.0,95954,-121.610785061424,39.8715625311378,True,12221.0,47.5,53547.0,0.8702233859749612,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
