,circuit_name,deenergize_time,latitude,longitude
132,WYANDOTTE1105,2019-09-25 03:06:00,39.4917002562126,-121.540946685493
133,WYANDOTTE1110,2019-09-24 11:43:00,39.4917002562126,-121.540946685493
134,WYANDOTTE1110,2019-09-24 11:43:00,39.4917002562126,-121.540946685493
136,CLARK ROAD11025,2019-09-25 03:04:00,39.6545213308009,-121.635508221299
137,PARADISE1104,2019-09-25 02:49:00,39.7606629529058,-121.61873043547
138,BIG BEND1101,2019-10-05 22:08:00,39.6773546412159,-121.491517892521
139,BIG BEND1102,2019-10-05 22:08:00,39.6773546412159,-121.491517892521
141,BUTTE1105,2019-10-05 22:05:00,39.7122064481817,-121.813357076893
142,CLARK ROAD1101,2019-10-05 22:18:00,39.6545213308009,-121.635508221299
143,KANAKA1101,2019-10-05 22:04:00,39.5751864763597,-121.305578305685
144,NOTRE DAME1104,2019-10-05 22:06:00,39.73015382806,-121.796365024541
145,ORO FINO1101,2019-10-05 22:11:00,39.8715625311378,-121.610785061424
146,ORO FINO1102,2019-10-05 22:11:00,39.8715625311378,-121.610785061424
147,PARADISE1103,2019-10-05 22:36:00,39.7606629529058,-121.61873043547
148,PARADISE1104,2019-10-05 22:04:00,39.7606629529058,-121.61873043547
149,PARADISE1105,2019-10-05 22:05:00,39.7606629529058,-121.61873043547
150,PARADISE1106,2019-10-05 22:06:00,39.7606629529058,-121.61873043547
151,SYCAMORE CREEK1111,2019-10-05 22:07:00,39.7687610613951,-121.824028388523
152,WYANDOTTE1103,2019-10-05 22:08:00,39.4917002562126,-121.540946685493
153,WYANDOTTE1105,2019-10-05 22:09:00,39.4917002562126,-121.540946685493
154,CLARK ROAD11024,2019-10-05 22:18:00,39.6545213308009,-121.635508221299
163,ANITA1106,2019-10-09 00:17:00,39.8109537405042,-121.919626572277
176,BANGOR1101,2019-10-09 02:55:00,39.3876737377382,-121.403175699252
186,BIG BEND1101,2019-10-09 00:22:00,39.6773546412159,-121.491517892521
190,BOLINAS1101,2019-10-09 00:45:00,37.9412120150976,-122.706148991385
195,BRUNSWICK1102,2019-10-09 03:13:00,39.2310500193179,-121.035026081788
196,BRUNSWICK1103,2019-10-09 03:13:00,39.2310500193179,-121.035026081788
197,BRUNSWICK1104,2019-10-09 03:13:00,39.2310500193179,-121.035026081788
198,BRUNSWICK1105,2019-10-09 03:11:00,39.2310500193179,-121.035026081788
199,BRUNSWICK1106,2019-10-09 03:11:00,39.2310500193179,-121.035026081788
200,BRUNSWICK1107,2019-10-09 03:16:00,39.2310500193179,-121.035026081788
201,BRUNSWICK1110,2019-10-09 03:11:00,39.2310500193179,-121.035026081788
207,BUTTE1105,2019-10-09 00:14:00,39.7122064481817,-121.813357076893
221,CHALLENGE1101,2019-10-09 02:28:00,39.4852592580312,-121.22031867914
222,CLARK ROAD1101,2019-10-09 02:04:00,39.6545213308009,-121.635508221299
223,CLARKSVILLE2104,2019-10-09 00:34:00,38.6557178829365,-121.059543733199
224,CLARKSVILLE2109,2019-10-09 00:37:00,38.6557178829365,-121.059543733199
248,DOBBINS1101,2019-10-09 02:27:00,39.3398765153899,-121.194927241139
265,FORESTHILL1101,2019-10-09 02:01:00,39.0193016687429,-120.830245241687
266,FORESTHILL1102,2019-10-09 02:01:00,39.0193016687429,-120.830245241687
271,FRENCH GULCH1101,2019-10-09 00:34:00,40.6868994531246,-122.641137963083
272,FRENCH GULCH1102,2019-10-09 00:34:00,40.6868994531246,-122.641137963083
288,GLENN1101,2019-10-09 00:28:00,39.7779130443667,-122.142904054826
289,GRASS VALLEY1101,2019-10-09 02:32:00,39.2090554867638,-121.061360910538
290,GRASS VALLEY1102,2019-10-09 02:33:00,39.2090554867638,-121.061360910538
291,GRASS VALLEY1103,2019-10-09 02:32:00,39.2090554867638,-121.061360910538
320,KANAKA1101,2019-10-09 01:52:00,39.5751864763597,-121.305578305685
326,LAKEVILLE1102,2019-10-09 02:43:00,38.2509556670473,-122.581645402139
367,NARROWS2101,2019-10-09 03:44:00,39.2351286694622,-121.268631468302
368,NARROWS2102,2019-10-09 03:49:00,39.2351286694622,-121.268631468302
369,NARROWS2105,2019-10-09 02:40:00,39.2351286694622,-121.268631468302
372,NOTRE DAME1103,2019-10-09 00:14:00,39.73015382806,-121.796365024541
373,NOTRE DAME1104,2019-10-09 00:47:00,39.73015382806,-121.796365024541
383,ORO FINO1101,2019-10-09 02:10:00,39.8715625311378,-121.610785061424
384,ORO FINO1102,2019-10-09 02:10:00,39.8715625311378,-121.610785061424
385,OROVILLE1104,2019-10-09 00:21:00,39.503997949522,-121.560155017326
387,PARADISE1103,2019-10-09 01:59:00,39.7606629529058,-121.61873043547
388,PARADISE1104,2019-10-09 01:59:00,39.7606629529058,-121.61873043547
389,PARADISE1105,2019-10-09 01:59:00,39.7606629529058,-121.61873043547
390,PARADISE1106,2019-10-09 01:59:00,39.7606629529058,-121.61873043547
