,circuit_name,deenergize_time,latitude,longitude
1066,WEIMAR1102,2019-10-26 18:58:00,39.0359625927244,-120.98798360444
1070,WHEATLAND1105,2019-10-26 17:02:00,35.9108361077603,-119.144461081766
1076,WISE1101,2019-10-26 17:03:00,38.8899263583528,-121.098495834582
1077,WISE1102,2019-10-26 17:01:00,38.8899263583528,-121.098495834582
1163,BRIDGEVILLE,2020-09-08 00:16:00,40.4796459701762,-123.780309818456
1164,BRIDGEVILLE,2020-09-08 00:27:00,40.4796459701762,-123.780309818456
1349,BRIDGEVILLE,2020-10-15 18:06:00,40.4796459701762,-123.780309818456
1441,COTTONWOOD,2020-10-22 03:14:00,34.3725536521034,-116.861264174494
1442,COTTONWOOD,2020-10-22 03:11:00,34.3725536521034,-116.861264174494
1491,BELL,2020-10-25 15:09:00,38.9467996750598,-121.091671584
1492,BELL,2020-10-25 15:08:00,38.9467996750598,-121.091671584
1506,BRUNSWICK,2020-10-25 15:14:00,39.2310500193179,-121.035026081788
1507,BRUNSWICK,2020-10-25 15:11:00,39.2310500193179,-121.035026081788
1508,BRUNSWICK,2020-10-25 15:11:00,39.2310500193179,-121.035026081788
1509,BRUNSWICK,2020-10-25 15:11:00,39.2310500193179,-121.035026081788
1510,BRUNSWICK,2020-10-25 15:11:00,39.2310500193179,-121.035026081788
1511,BRUNSWICK,2020-10-25 10:50:00,39.2310500193179,-121.035026081788
1512,BRUNSWICK,2020-10-25 15:11:00,39.2310500193179,-121.035026081788
1533,CHALLENGE,2020-10-25 14:00:00,39.4852592580312,-121.22031867914
1534,CHALLENGE,2020-10-25 14:00:00,39.4852592580312,-121.22031867914
1563,DOBBINS,2020-10-25 14:11:00,39.3398765153899,-121.194927241139
1594,GRASS VALLEY,2020-10-25 17:01:00,39.2090554867638,-121.061360910538
1595,GRASS VALLEY,2020-10-25 17:25:00,39.2090554867638,-121.061360910538
1596,HALSEY,2020-10-25 15:14:00,38.9569284770887,-121.042230335277
1597,HALSEY,2020-10-25 15:13:00,38.9569284770887,-121.042230335277
1600,HIGGINS,2020-10-25 17:42:00,39.0440405701005,-121.090692546924
1601,HIGGINS,2020-10-25 17:29:00,39.0440405701005,-121.090692546924
1602,HIGGINS,2020-10-25 17:30:00,39.0440405701005,-121.090692546924
1603,HIGGINS,2020-10-25 18:32:00,39.0440405701005,-121.090692546924
1604,HIGGINS,2020-10-25 17:38:00,39.0440405701005,-121.090692546924
1740,SHADY GLEN,2020-10-25 16:20:00,39.1153445138582,-120.952945312318
1741,SHADY GLEN,2020-10-25 16:21:00,39.1153445138582,-120.952945312318
1787,WEIMAR,2020-10-25 16:18:00,39.0359625927244,-120.98798360444
1788,WEIMAR,2020-10-25 16:19:00,39.0359625927244,-120.98798360444
2044,PINECREST0401,2019-10-09 15:31:00,38.3411,-119.8327
2101,WINDSOR1101,2019-10-26 19:50:00,38.5468,-122.8197
2102,WINDSOR1102,2019-10-26 19:50:00,38.5468,-122.8197
