Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ALLEGHANY 1101,10/25/2020 14:14,10/28/2020 11:05,"ALLEGHANY,
DOWNIEVILLE,
GOODYEARS BAR,
SIERRA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1033,870,161,24,2
ALLEGHANY 1102,10/25/2020 14:01,10/28/2020 15:25,"ALLEGHANY,
WASHINGTON",Tier 3,153,129,24,3,0
ALPINE 1101,10/25/2020 16:00,10/27/2020 17:09,"ANGELS CAMP,
BEAR VALLEY","Partially
Outside
HFTD",278,273,5,2,0
ALPINE 1102,10/25/2020 16:00,10/27/2020 17:09,"ANGELS CAMP,
BEAR VALLEY","Partially
Outside
HFTD",304,270,34,4,0
ALTO 1120*,10/25/2020 19:11,10/27/2020 9:49,MILL VALLEY,"Partially
Outside
HFTD,
Tier 2",1151,1108,43,35,0
ALTO 1124*,10/25/2020 19:25,10/26/2020 18:40,MILL VALLEY,"Partially
Outside
HFTD,
Tier 3",1883,1749,134,52,0
ALTO 1125*,10/25/2020 19:01,10/27/2020 11:43,"MILL VALLEY,
MUIR BEACH","Partially
Outside
HFTD,
Tier 3,
Tier 2",2615,2533,80,95,2
ANDERSON 1101*,10/25/2020 10:04,10/26/2020 16:07,"ANDERSON,
COTTONWOOD","Partially
Outside
HFTD,
Tier 2",1552,1359,189,145,4
ANDERSON 1103*,10/25/2020 10:09,10/26/2020 14:53,"ANDERSON,
REDDING","Partially
Outside
HFTD,
Tier 2",438,390,39,40,9
ANNAPOLIS 1101,10/25/2020 19:01,10/26/2020 17:58,"ANNAPOLIS,
STEWARTS POINT",Tier 2,222,163,48,5,11
ANTLER 1101,10/25/2020 10:13,10/27/2020 12:05,LAKEHEAD,"Partially
Outside
HFTD,
Tier 3,
Tier 2",919,777,126,54,16
APPLE HILL 1103,10/25/2020 16:36,10/27/2020 15:39,"CAMINO,
PLACERVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",1266,1100,160,74,6
APPLE HILL 1104,10/25/2020 16:37,10/27/2020 16:08,"CAMINO,
PLACERVILLE,
POLLOCK PINES","Partially
Outside
HFTD,
Tier 3,
Tier 2",2428,2248,170,173,10
APPLE HILL 2102,10/25/2020 16:39,10/28/2020 14:26,"CAMINO, FAIR
PLAY, GRIZZLY
FLATS, MOUNT
AUKUM,
PLACERVILLE,
POLLOCK PINES,
SOMERSET","Partially
Outside
HFTD,
Tier 3,
Tier 2",4397,4018,338,309,41
ARBUCKLE 1101*,10/25/2020 17:25,10/26/2020 17:13,ARBUCKLE,"Partially
Outside
HFTD",3,2,0,0,1
ARBUCKLE 1104*,10/25/2020 17:33,10/26/2020 18:26,ARBUCKLE,"Partially
Outside
HFTD,
Tier 2",13,9,3,0,1
AUBERRY 1101,10/25/2020 21:00,10/27/2020 11:37,"AUBERRY, CLOVIS,
PRATHER, SANGER,
SHAVER LAKE,
TOLLHOUSE","Partially
Outside
HFTD,
Tier 3,
Tier 2",2865,2561,289,246,15
AUBERRY 1102,10/25/2020 21:15,10/27/2020 11:06,"AUBERRY, CLOVIS,
PRATHER,
TOLLHOUSE","Partially
Outside
HFTD,
Tier 2",1591,1455,129,154,7
BANGOR 1101*,10/25/2020 14:10,10/27/2020 15:04,"BANGOR, BROWNS
VALLEY,
BROWNSVILLE,
DOBBINS, LOMA
RICA,
MARYSVILLE,
OREGON HOUSE,
OROVILLE,
RACKERBY","Partially
Outside
HFTD,
Tier 3,
Tier 2",2136,1889,218,191,29
BASALT 1106*,10/25/2020 15:57,10/27/2020 9:58,"NAPA, SONOMA","Partially
Outside
HFTD,
Tier 2",10,2,7,0,1
BELL 1108*,10/25/2020 15:09,10/26/2020 15:03,AUBURN,"Partially
Outside
HFTD,
Tier 2",1559,1462,80,111,17
BELL 1109*,10/25/2020 15:08,10/26/2020 13:39,AUBURN,"Partially
Outside
HFTD,
Tier 2",354,314,38,23,2
BEN LOMOND 0401,10/25/2020 22:05,10/28/2020 8:23,BEN LOMOND,Tier 3,747,684,62,59,1
BEN LOMOND 1101,10/25/2020 22:05,10/27/2020 21:35,"BEN LOMOND,
BOULDER CREEK,
BROOKDALE",Tier 3,708,681,26,43,1
BERKELEY F 1103*,10/25/2020 20:00,10/26/2020 18:16,"BERKELEY,
OAKLAND","Partially
Outside
HFTD,
Tier 3",313,299,13,6,1
BIG BASIN 1101,10/25/2020 22:08,10/27/2020 14:35,"BOULDER CREEK,
SANTA CRUZ",Tier 3,2181,1992,183,173,6
BIG BASIN 1102,10/25/2020 22:10,10/27/2020 16:07,"BOULDER CREEK,
LOS GATOS","Tier 3,
Tier 2",1420,1329,85,97,6
BIG BEND 1101,10/25/2020 14:58,10/27/2020 13:55,OROVILLE,"Tier 3,
Tier 2",239,213,24,16,2
BIG BEND 1102,10/25/2020 14:58,10/27/2020 12:49,BERRY CREEK,Tier 3,81,71,8,5,2
BIG MEADOWS 2101*,10/25/2020 14:04,10/27/2020 17:23,"ALMANOR,
CANYON DAM","Partially
Outside
HFTD,
Tier 2",3,0,3,0,0
BIG TREES 0402,10/25/2020 22:07,10/26/2020 20:14,"FELTON, SANTA
CRUZ","Partially
Outside
HFTD,
Tier 3,
Tier 2",860,808,52,55,0
BOLINAS 1101*,10/25/2020 19:02,10/27/2020 12:36,"FAIRFAX, STINSON
BEACH","Partially
Outside
HFTD,
Tier 3,
Tier 2",836,761,75,14,0
BONNIE NOOK 1101,10/25/2020 15:11,10/27/2020 16:21,"ALTA, COLFAX,
DUTCH FLAT,
GOLD RUN",Tier 3,489,416,65,20,8
BONNIE NOOK 1102,10/25/2020 15:11,10/27/2020 16:12,ALTA,Tier 3,522,454,61,22,7
BRENTWOOD 2105*,10/25/2020 20:19,10/27/2020 10:02,"BRENTWOOD,
BYRON",Tier 2,16,1,14,1,1
BRIDGEVILLE 1101,10/25/2020 16:17,10/26/2020 16:45,BRIDGEVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",91,74,12,4,5
BRIDGEVILLE 1102,10/25/2020 16:21,10/26/2020 17:03,"BLOCKSBURG,
BRIDGEVILLE,
CARLOTTA","Partially
Outside
HFTD,
Tier 3,
Tier 2",269,227,28,11,14
"BROWNS VALLEY
1101*",10/25/2020 14:06,10/26/2020 11:26,BROWNS VALLEY,Tier 2,116,104,9,7,3
BRUNSWICK 1102,10/25/2020 15:14,10/27/2020 19:10,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1381,801,580,64,0
BRUNSWICK 1103,10/25/2020 15:11,10/27/2020 19:08,NEVADA CITY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",3198,2476,710,119,12
BRUNSWICK 1104,10/25/2020 15:11,10/27/2020 19:24,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",2520,2187,331,149,2
BRUNSWICK 1105,10/25/2020 15:11,10/27/2020 18:44,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",3687,3415,266,226,6
BRUNSWICK 1106,10/25/2020 15:11,10/27/2020 20:03,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",4498,4275,211,293,12
BRUNSWICK 1107,10/25/2020 10:50,10/27/2020 19:34,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2672,2263,401,165,8
BRUNSWICK 1110,10/25/2020 15:11,10/27/2020 18:42,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 2",3075,2668,404,180,3
BRYANT 0401,10/25/2020 20:24,10/27/2020 9:23,ORINDA,"Partially
Outside
HFTD",181,155,26,13,0
BRYANT 0402,10/25/2020 20:24,10/27/2020 9:23,ORINDA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",586,572,14,33,0
BUCKS CREEK 1101,10/25/2020 14:04,10/28/2020 11:34,"OROVILLE,
STORRIE","Tier 3,
Tier 2",4,0,3,0,1
BUCKS CREEK 1102,10/25/2020 14:04,10/28/2020 11:28,"BELDEN, QUINCY,
STORRIE","Tier 3,
Tier 2",119,54,63,3,2
BUCKS CREEK 1103,10/25/2020 14:04,10/28/2020 11:37,QUINCY,"Tier 3,
Tier 2",311,262,49,6,0
BURNEY 1101*,10/25/2020 14:07,10/27/2020 13:20,"BURNEY, CASSEL","Partially
Outside
HFTD,
Tier 2",203,155,26,19,22
BURNS 2101,10/25/2020 22:03,10/26/2020 15:01,SANTA CRUZ,Tier 3,13,13,0,1,0
BUTTE 1105*,10/25/2020 14:07,10/27/2020 10:13,CHICO,Tier 3,175,162,12,12,1
"CALAVERAS CEMENT
1101*",10/25/2020 15:17,10/27/2020 16:04,"ANGELS CAMP,
MOKELUMNE HILL,
MOUNTAIN
RANCH, RAIL
ROAD FLAT, SAN
ANDREAS, SHEEP
RANCH","Partially
Outside
HFTD,
Tier 3,
Tier 2",1159,1026,119,65,14
CALISTOGA 1101*,10/25/2020 15:17,10/27/2020 19:57,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1219,922,203,39,94
CALISTOGA 1102*,10/25/2020 15:17,10/27/2020 20:20,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",753,574,138,20,41
CAMP EVERS 2104*,10/25/2020 22:01,10/27/2020 20:07,"SANTA CRUZ,
SCOTTS VALLEY",Tier 3,538,507,30,28,1
CAMP EVERS 2105*,10/25/2020 22:03,10/27/2020 21:30,"BEN LOMOND,
FELTON, LOS
GATOS, MOUNT
HERMON, SCOTTS
VALLEY","Partially
Outside
HFTD,
Tier 3,
Tier 2",3619,3400,217,268,2
CAMP EVERS 2106*,10/25/2020 22:00,10/27/2020 18:15,"FELTON, LOS
GATOS, MOUNT
HERMON,
REDWOOD
ESTATES, SANTA
CRUZ, SCOTTS
VALLEY","Partially
Outside
HFTD,
Tier 3,
Tier 2",2819,2491,317,177,11
CARBONA 1101*,10/25/2020 21:07,10/26/2020 16:28,TRACY,"Partially
Outside
HFTD",1,0,0,0,1
"CASTRO VALLEY
1108*",10/25/2020 20:19,10/27/2020 17:03,CASTRO VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",187,160,24,11,3
"CASTRO VALLEY
1110*",10/25/2020 20:11,10/26/2020 18:28,CASTRO VALLEY,Tier 3,235,194,35,16,6
CAYETANO 2109*,10/25/2020 20:11,10/27/2020 14:26,LIVERMORE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",235,156,63,16,16
CAYETANO 2111*,10/25/2020 20:06,10/27/2020 9:18,LIVERMORE,Tier 2,25,22,2,2,1
CEDAR CREEK 1101,10/25/2020 14:01,10/27/2020 13:25,"BELLA VISTA, BIG
BEND,
MONTGOMERY
CREEK, OAK RUN,
ROUND MOUNTAIN","Tier 3,
Tier 2",733,653,74,49,6
CHALLENGE 1101,10/25/2020 14:00,10/27/2020 14:27,"CHALLENGE,
CLIPPER MILLS, LA
PORTE,
STRAWBERRY
VALLEY","Tier 3,
Tier 2",669,575,94,42,0
CHALLENGE 1102,10/25/2020 14:00,10/27/2020 17:35,"BROWNSVILLE,
CHALLENGE,
DOBBINS,
FORBESTOWN","Tier 3,
Tier 2",829,726,101,71,2
CLARK ROAD 1102*,10/25/2020 14:01,10/27/2020 14:25,"OROVILLE,
PARADISE","Partially
Outside
HFTD,
Tier 3,
Tier 2",672,598,66,60,8
CLAYTON 2212*,10/25/2020 20:15,10/27/2020 16:49,"BRENTWOOD,
CLAYTON","Partially
Outside
HFTD,
Tier 3,
Tier 2",515,430,80,43,5
CLAYTON 2213*,10/25/2020 20:03,10/27/2020 10:11,PITTSBURG,Tier 2,4,0,4,0,0
CLAYTON 2215*,10/25/2020 20:42,10/27/2020 11:10,WALNUT CREEK,"Tier 3,
Tier 2",31,21,8,3,2
CLEAR LAKE 1101*,10/25/2020 16:18,10/27/2020 15:30,"FINLEY,
KELSEYVILLE,
LAKEPORT","Partially
Outside
HFTD,
Tier 3,
Tier 2",976,739,146,59,91
CLEAR LAKE 1102*,10/25/2020 16:05,10/27/2020 12:09,LAKEPORT,"Partially
Outside
HFTD,
Tier 2",119,104,15,9,0
CLOVERDALE 1102*,10/25/2020 15:17,10/28/2020 10:29,"CLOVERDALE,
GEYSERVILLE","Tier 3,
Tier 2",252,194,28,21,30
COARSEGOLD 2102,10/25/2020 21:00,10/27/2020 8:43,"BASS LAKE,
COARSEGOLD,
NORTH FORK,
OAKHURST","Tier 3,
Tier 2",1302,1229,72,103,1
COARSEGOLD 2104*,10/25/2020 21:10,10/26/2020 16:41,"COARSEGOLD,
OAKHURST","Tier 3,
Tier 2",494,465,29,53,0
COLUMBIA HILL 1101,10/25/2020 14:00,10/28/2020 12:21,"CAMPTONVILLE,
NEVADA CITY,
NORTH SAN JUAN","Tier 3,
Tier 2",1126,985,127,86,14
CORNING 1101*,10/25/2020 10:00,10/26/2020 17:05,"CORNING,
FLOURNOY","Partially
Outside
HFTD,
Tier 2",822,755,65,99,2
CORNING 1102*,10/25/2020 10:02,10/26/2020 16:15,"CORNING,
FLOURNOY,
PASKENTA, RED
BLUFF","Partially
Outside
HFTD,
Tier 2",292,229,54,15,9
CORTINA 1101*,10/25/2020 17:31,10/26/2020 16:55,WILLIAMS,Tier 2,8,4,4,1,0
COTTONWOOD 1101*,10/25/2020 10:05,10/26/2020 17:36,"COTTONWOOD,
RED BLUFF","Partially
Outside
HFTD,
Tier 2",895,833,44,67,18
COTTONWOOD 1102*,10/25/2020 10:06,10/26/2020 16:33,"ANDERSON,
COTTONWOOD,
IGO","Partially
Outside
HFTD,
Tier 2",953,888,50,95,15
COTTONWOOD 1103*,10/25/2020 10:03,10/26/2020 17:04,"COTTONWOOD,
RED BLUFF","Partially
Outside
HFTD,
Tier 2",2419,2269,114,218,36
"CRESCENT MILLS
2101*",10/25/2020 14:11,10/27/2020 15:40,"CRESCENT MILLS,
GREENVILLE,
TAYLORSVILLE","Partially
Outside
HFTD,
Tier 2",560,462,68,32,30
CURTIS 1701,10/25/2020 16:02,10/27/2020 20:06,SONORA,"Partially
Outside
HFTD,
Tier 2",1803,1221,574,119,8
CURTIS 1702,10/25/2020 16:03,10/27/2020 11:23,"SONORA,
SOULSBYVILLE,
TUOLUMNE","Partially
Outside
HFTD,
Tier 3,
Tier 2",4325,3826,487,374,12
CURTIS 1703,10/25/2020 16:04,10/27/2020 9:53,"JAMESTOWN,
SONORA","Partially
Outside
HFTD,
Tier 2",1255,1012,230,100,13
CURTIS 1704,10/25/2020 16:03,10/26/2020 19:01,"COLUMBIA,
SONORA","Partially
Outside
HFTD,
Tier 3,
Tier 2",2558,2254,290,234,14
CURTIS 1705,10/25/2020 16:05,10/27/2020 9:48,"SONORA,
SOULSBYVILLE,
TUOLUMNE","Partially
Outside
HFTD,
Tier 3,
Tier 2",2750,2307,437,272,6
DESCHUTES 1101,10/25/2020 10:06,10/27/2020 9:35,"MILLVILLE, OAK
RUN, PALO CEDRO,
SHINGLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1171,1079,71,85,21
DESCHUTES 1104,10/25/2020 10:09,10/26/2020 17:48,"ANDERSON, BELLA
VISTA, MILLVILLE,
PALO CEDRO,
REDDING","Partially
Outside
HFTD,
Tier 2",2372,2088,258,178,26
"DIAMOND SPRINGS
1103*",10/25/2020 15:08,10/26/2020 15:16,PLACERVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1495,1308,186,121,1
"DIAMOND SPRINGS
1104*",10/25/2020 15:34,10/26/2020 14:29,"DIAMOND
SPRINGS, EL
DORADO,
PLACERVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",463,403,60,44,0
