X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat
-13452397.5903,4647566.0775,40,PG&E,,CEC,SUBSTATION,304637,Oleta,60,95669,CA,Amador County,Plymouth,-120.844943633836,38.480764254906
-13382653.317,4650077.0825,41,PG&E,H11,CEC,SUBSTATION,306859,Salt Springs,115,95666,CA,Amador County,Unincorporated,-120.218420167047,38.498419895679
-13431835.8017,4637905.5338,42,PG&E,,CEC,SUBSTATION,306215,Pine Grove,60,95665,CA,Amador County,Unincorporated,-120.660233944587,38.4127977031006
-13522816.5253,4538956.4391,43,PG&E,,CEC,SUBSTATION,307115,Lammers,115,95377,CA,San Joaquin County,Unincorporated,-121.477527690566,37.7129654742456
-13532607.934,4790839.4157,44,PG&E,,CEC,SUBSTATION,302814,A.P.T. Oro,,95965,CA,Butte County,Oroville,-121.565485410807,39.4812263331145
-13545980.7237,4774049.068,45,Other,,CEC,SUBSTATION,301839,Gridley,60,95948,CA,Butte County,Gridley,-121.685615224939,39.3647131649862
-13533642.7997,4789851.7203,46,Other,,CEC,SUBSTATION,305907,Louisiana Pacific (Oroville),,95965,CA,Butte County,Unincorporated,-121.574781767753,39.4743778164796
-13546315.9538,4780392.1544,47,Other,,CEC,,,City Of Biggs,,95917,CA,Butte County,Unincorporated,-121.688626648085,39.4087526014119
-13407016.7036,4115507.9878,48,PG&E,,CEC,SUBSTATION,303296,Cabrillo,115,93436,CA,Santa Barbara County,Lompoc,-120.437280193133,34.6432697885287
-13572030.7477,4838508.5015,49,Other,,CEC,SUBSTATION,307094,Anita,60,95973,CA,Butte County,Unincorporated,-121.919626572277,39.8109537405042
-13514539.6995,4777355.6248,50,PG&E,,CEC,SUBSTATION,302304,Bangor,,95914,CA,Butte County,Unincorporated,-121.403175699252,39.3876737377382
-13524373.9075,4819166.513,51,PG&E,H10,CEC,SUBSTATION,303665,Big Bend,115,95965,CA,Butte County,Unincorporated,-121.491517892521,39.6773546412159
-13560200.8816,4824208.6164,52,PG&E,,CEC,SUBSTATION,303732,Butte,115,95928,CA,Butte County,Chico,-121.813357076893,39.7122064481817
-13561042.8518,4825168.6215,53,PG&E,,CEC,SUBSTATION,304029,Chico A,,95928,CA,Butte County,Chico,-121.820920623596,39.7188401587555
-13563954.4337,4826134.6624,54,PG&E,,CEC,SUBSTATION,308381,Chico B,115,95928,CA,Butte County,Chico,-121.847075808512,39.7255149336051
-12953960.3481,4004355.944,55,IID,,CEC,SUBSTATION,301865,Ramon,,92276,CA,Riverside County,Unincorporated,-116.367405705986,33.8177460179467
-13555188.8893,4809102.14,56,PG&E,,CEC,SUBSTATION,300607,Esquon,115,95938,CA,Butte County,Unincorporated,-121.768333583841,39.6077355146463
-13582243.5054,4829160.6491,57,PG&E,,CEC,SUBSTATION,303483,Hamilton A,,95951,CA,Glenn County,Unincorporated,-122.011369335471,39.7464185417689
-13535929.9606,4767696.5323,58,PG&E,,CEC,SUBSTATION,310438,Honcut,115,95965,CA,Butte County,Unincorporated,-121.595327683914,39.3205802731081
-13503675.2074,4804400.2145,59,Other,,CEC,SUBSTATION,306312,Kanaka,115,95966,CA,Butte County,Unincorporated,-121.305578305685,39.5751864763597
-13570630.5789,4831162.051,60,PG&E,,CEC,SUBSTATION,305811,Nord,115,95973,CA,Butte County,Unincorporated,-121.907048641732,39.7602408029847
-13537650.668,4847295.6124,61,PG&E,,CEC,SUBSTATION,300584,Oro Fino,,95954,CA,Butte County,Unincorporated,-121.610785061424,39.8715625311378
-13532014.5573,4794124.2454,62,PG&E,,CEC,SUBSTATION,300266,Oroville,60,95965,CA,Butte County,Oroville,-121.560155017326,39.503997949522
-13527284.2055,4786962.8579,63,PG&E,,CEC,SUBSTATION,307680,Palermo,230,95966,CA,Butte County,Unincorporated,-121.517661544136,39.4543430522814
-13538535.143,4831223.1827,64,PG&E,,CEC,SUBSTATION,309157,Paradise,,95969,CA,Butte County,Paradise,-121.61873043547,39.7606629529058
-13545922.7589,4775997.1867,65,PG&E,,CEC,SUBSTATION,301112,Peachton,,95948,CA,Butte County,Unincorporated,-121.685094518257,39.3782417220795
-13561388.8066,4832395.9466,66,PG&E,,CEC,SUBSTATION,303844,Sycamore Creek,115,95973,CA,Butte County,Chico,-121.824028388523,39.7687610613951
-13541435.787,4801525.7607,67,PG&E,66,CEC,SUBSTATION,300007,Table Mt.,500,95965,CA,Butte County,Unincorporated,-121.644787363876,39.5552805636078
-13546248.8904,4791638.2087,68,PG&E,,CEC,SUBSTATION,304191,Tres Vias,115,95965,CA,Butte County,Unincorporated,-121.688024207101,39.4867645388279
-13529876.2956,4792350.1565,69,PG&E,,CEC,SUBSTATION,302198,Wyandotte,115,95966,CA,Butte County,Unincorporated,-121.540946685493,39.4917002562126
-13432614.3483,4603454.4299,70,Other,,CEC,SUBSTATION,308779,Calaveras Cement,60,95249,CA,Calaveras County,Unincorporated,-120.667227747475,38.1698969240712
-13405330.5789,4589293.296,71,Other,,CEC,SUBSTATION,307549,Cataract,,95310,CA,Tuolumne County,Unincorporated,-120.422133476946,38.0698168751553
-13461440.321,4593771.5612,72,PG&E,,CEC,SUBSTATION,300455,Corral,60,95236,CA,Calaveras County,Unincorporated,-120.92617586661,38.1014806533932
-13417780.2807,4587502.7357,73,PG&E,,CEC,SUBSTATION,305719,Frogtown,,95222,CA,Calaveras County,Unincorporated,-120.533971051296,38.0571527997142
-13418030.7619,4571609.1819,74,WAPA,H2,CEC,SUBSTATION,304398,Melones,230,95222,CA,Calaveras County,Unincorporated,-120.536221161622,37.9446465972051
-13408034.0804,4600211.0163,75,PG&E,,CEC,SUBSTATION,308813,Murphy,115,95247,CA,Calaveras County,Unincorporated,-120.446419443914,38.146987072527
-13438416.3483,4607681.9195,76,PG&E,,CEC,SUBSTATION,307819,North Branch,60,95249,CA,Calaveras County,Unincorporated,-120.719348000414,38.1997469904355
-13443388.1524,4610067.3606,77,PG&E,,CEC,SUBSTATION,303253,Valley Springs,,95252,CA,Calaveras County,Unincorporated,-120.764010476423,38.2165850576775
-13587812.3174,4724175.696,78,PG&E,,CEC,SUBSTATION,303681,Arbuckle,60,95912,CA,Colusa County,Unincorporated,-122.061394824657,39.0174796788883
-13581261.7772,4752304.9018,79,PG&E,,CEC,SUBSTATION,306707,Colusa,60,95932,CA,Colusa County,Colusa,-122.002550321286,39.2135346733637
-13605839.4054,4738953.3101,80,PG&E,66X,CEC,SUBSTATION,300004,Cortina,,95987,CA,Colusa County,Unincorporated,-122.223334911058,39.1205447354015
-13585801.592,4717349.8641,81,PG&E,,CEC,SUBSTATION,302981,Drake,60,95912,CA,Colusa County,Unincorporated,-122.043332170732,38.969822765903
-13588822.381,4717264.1276,82,PG&E,,CEC,SUBSTATION,307397,Harrington,60,95912,CA,Colusa County,Unincorporated,-122.070468380733,38.9692239625332
-13598041.9162,4761421.7154,83,PG&E,,CEC,SUBSTATION,306085,Maxwell,60,95955,CA,Colusa County,Unincorporated,-122.153288873796,39.2769599631538
-13582454.4959,4779526.9454,84,PG&E,,CEC,SUBSTATION,304472,Rice,60,95970,CA,Colusa County,Unincorporated,-122.013264694823,39.4027471760554
-13597421.1074,4744255.4994,85,PG&E,,CEC,SUBSTATION,301442,Williams,60,95987,CA,Colusa County,Williams,-122.147712053487,39.1574876530818
-13083050.965,4040781.6807,86,SCE,,CEC,SUBSTATION,303308,Etiwanda,,91739,CA,San Bernardino County,Rancho Cucamonga,-117.527046447584,34.0891700631691
-13146859.4042,3998138.7466,87,SCE,,CEC,SUBSTATION,307039,Stadium,,90803,CA,Los Angeles County,Long Beach,-118.100247410054,33.7713325486698
-13595462.2759,4578567.4036,88,PG&E,,CEC,SUBSTATION,309944,Alhambra,115,94553,CA,Contra Costa County,Martinez,-122.130115571237,37.9939232223922
-13535019.1457,4553604.7081,89,PG&E,,CEC,SUBSTATION,308431,Byron Bethany,60,94514,CA,Contra Costa County,Unincorporated,-121.587145694383,37.8169893551706
-13553011.1948,4581026.484,90,Other,,CEC,SUBSTATION,303848,Du Pont,60,94561,CA,Contra Costa County,Oakley,-121.748771021185,38.0113299894265
-13533881.6865,4563474.0997,91,Other,,CEC,SUBSTATION,301537,Los Vaqueros,,94505,CA,Contra Costa County,Unincorporated,-121.576927724119,37.8869937708038
-13556613.4735,4581097.2685,92,Other,,CEC,SUBSTATION,307155,GWF 3,230,94509,CA,Contra Costa County,Antioch,-121.781130841512,38.0118309809875
-13553845.9355,4580909.167,93,PG&E,,CEC,SUBSTATION,302041,GWF 4,60,94509,CA,Contra Costa County,Antioch,-121.756269624994,38.0104996469356
-13564238.5343,4583155.7304,94,PG&E,,CEC,,,Linde,,94565,CA,Contra Costa County,Pittsburg,-121.84962792821,38.0263986651652
-13593869.3962,4581432.0019,95,Other,,CEC,SUBSTATION,303191,Shell Oil 1,115,94553,CA,Contra Costa County,Unincorporated,-122.115806489374,38.0142000781665
-13607184.451,4582110.779,96,Other,,CEC,SUBSTATION,305575,Union Chemical,60,94572,CA,Contra Costa County,Unincorporated,-122.235417661726,38.0190039319037
-13588924.3452,4568971.1751,97,Other,,CEC,SUBSTATION,302976,Walnut Creek Pp,,94597,CA,Contra Costa County,Walnut Creek,-122.071384340305,37.9259561559409
-13539000.0075,4556664.8928,98,Other,,CEC,,,Tres Vaqueros Wind Farm (Jv Ent),,94514,CA,Contra Costa County,Unincorporated,-121.622906384709,37.8387026090223
-13545163.7234,4568954.5013,99,PG&E,,CEC,SUBSTATION,308996,Balfour,60,94513,CA,Contra Costa County,Brentwood,-121.678275985902,37.9258380061679
-13585728.8608,4581204.6946,100,Other,,CEC,SUBSTATION,308223,Bollman,115,94520,CA,Contra Costa County,Unincorporated,-122.04267881544,38.0125913045506
