Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
BLUE LAKE 1102,NON-HFTD,"10/09/2019
00:51","BLUE LAKE, ARCATA,
MCKINLEYVILLE,
FIELDBROOK","10/10/2019
04:14",,,,,,,,
BOLINAS 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45","STINSON BEACH,
BOLINAS, FAIRFAX","10/11/2019
15:50",,,,,,,,
BONNIE NOOK 1101,TIER 3,"10/09/2019
02:07","DUTCH FLAT, GOLD
RUN, ALTA, COLFAX","10/11/2019
19:02",,,,,,,,
BRIDGEVILLE 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:51",BRIDGEVILLE,"10/10/2019
00:24",,,,,,,,
BRIDGEVILLE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:51","CARLOTTA,
BRIDGEVILLE,
BLOCKSBURG","10/10/2019
02:06",,,,,,,,
BROWNS VALLEY 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:20","BROWNS VALLEY,
MARYSVILLE","10/11/2019
09:35",,,,,,,,
BRUNSWICK 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:13","GRASS VALLEY,
NEVADA CITY","10/11/2019
16:00",,,,,,,,
BRUNSWICK 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:13",NEVADA CITY,"10/11/2019
17:21",,,,,,,,
BRUNSWICK 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:13","NEVADA CITY, GRASS
VALLEY","10/12/2019
10:19",,,,,,,,
BRUNSWICK 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:11","NEVADA CITY, GRASS
VALLEY","10/12/2019
11:30",,,,,,,,
BRUNSWICK 1106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:11",GRASS VALLEY,"10/12/2019
10:57",,,,,,,,
BRUNSWICK 1107,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:16",GRASS VALLEY,"10/11/2019
16:46",,,,,,,,
BRUNSWICK 1110,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:11","GRASS VALLEY,
NEVADA CITY","10/11/2019
13:50",,,,,,,,
BRYANT 0401,NON-HFTD,"10/09/2019
22:51",ORINDA,"10/11/2019
09:37",,,,,,,,
BRYANT 0402,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:51",ORINDA,"10/11/2019
09:37",,,,,,,,
BUCKS CREEK 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:09",STORRIE,"10/11/2019
17:00",,,,,,,,
BUCKS CREEK 1102,"TIER 3, TIER 2","10/09/2019
00:10","BELDEN, STORRIE,
QUINCY","10/12/2019
11:28",,,,,,,,
