Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
HARTLEY 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:43",LAKEPORT,"10/11/2019
12:42",,,,,,,,
HARTLEY 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:43",LAKEPORT,"10/11/2019
16:26",,,,,,,,
HICKS 2101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:57",SAN JOSE,"10/10/2019
17:27",,,,,,,,
HIGGINS 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:11","GRASS VALLEY,
AUBURN","10/11/2019
15:26",,,,,,,,
HIGGINS 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:15",GRASS VALLEY,"10/11/2019
12:21",,,,,,,,
HIGGINS 1107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:19","AUBURN, GRASS
VALLEY","10/11/2019
09:12",,,,,,,,
HIGGINS 1109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:22","GRASS VALLEY,
AUBURN","10/11/2019
15:43",,,,,,,,
HIGGINS 1110,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:25","AUBURN, GRASS
VALLEY","10/11/2019
13:08",,,,,,,,
HIGHLANDS 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:32","CLEARLAKE,
CLEARLAKE OAKS","10/11/2019
08:12",,,,,,,,
HIGHLANDS 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:31","LOWER LAKE,
HIDDEN VALLEY
LAKE, CLEARLAKE,
MIDDLETOWN","10/11/2019
14:26",,,,,,,,
HIGHLANDS 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:31",CLEARLAKE,"10/11/2019
09:38",,,,,,,,
HOOPA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44","HOOPA, ORLEANS,
WEITCHPEC, SOMES
BAR","10/10/2019
12:14",,,,,,,,
HOPLAND 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:56","HOPLAND, UKIAH,
LAKEPORT","10/11/2019
13:11",,,,,,,,
HORSESHOE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:35","GRANITE BAY,
LOOMIS","10/11/2019
09:11",,,,,,,,
HORSESHOE 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31","GRANITE BAY,
ROSEVILLE","10/10/2019
16:28",,,,,,,,
"HUM BAY BANK NO. 11
1101",NON-HFTD,"10/09/2019
01:40","EUREKA, FIELDS
LANDING","10/10/2019
00:20",,,,,,,,
"HUM BAY BANK NO. 11
1102","TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:40",EUREKA,"10/10/2019
01:10",,,,,,,,
JAMESON 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33","FAIRFIELD, SUISUN
CITY","10/11/2019
13:19",,,,,,,,
JAMESON 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34","FAIRFIELD, SUISUN
CITY, VALLEJO","10/10/2019
19:04",,,,,,,,
JAMESON 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:36","FAIRFIELD, SUISUN
CITY","10/11/2019
14:46",,,,,,,,
JANES CREEK 1101,NON-HFTD,"10/09/2019
00:47","MCKINLEYVILLE,
ARCATA","10/10/2019
03:58",,,,,,,,
JANES CREEK 1102,NON-HFTD,"10/09/2019
00:47",ARCATA,"10/10/2019
03:59",,,,,,,,
JANES CREEK 1103,NON-HFTD,"10/09/2019
00:47","MCKINLEYVILLE,
ARCATA","10/10/2019
03:55",,,,,,,,
JARVIS 1111,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:04",FREMONT,"10/10/2019
16:43",,,,,,,,
JESSUP 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:39","ANDERSON, IGO,
REDDING","10/10/2019
20:50",,,,,,,,
JESSUP 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:39",ANDERSON,"10/11/2019
09:10",,,,,,,,
JESSUP 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:30","REDDING, ANDERSON","10/11/2019
11:24",,,,,,,,
KANAKA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:52","OROVILLE,
FORBESTOWN,
FEATHER FALLS","10/12/2019
12:57",,,,,,,,
KERN OIL 1104,NON-HFTD,"10/10/2019
09:59",BAKERSFIELD,"10/11/2019
15:23",,,,,,,,
KERN OIL 1106*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:06",BAKERSFIELD,"10/11/2019
20:25",,,,,,,,
KESWICK 1101,"TIER 3, TIER 2","10/09/2019
00:34","SHASTA, REDDING,
WHISKEYTOWN","10/11/2019
15:14",,,,,,,,
KONOCTI 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31","KELSEYVILLE, COBB,
LOWER LAKE, LOCH
LOMOND,
MIDDLETOWN","10/12/2019
14:31",,,,,,,,
KONOCTI 1108,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31",KELSEYVILLE,"10/12/2019
10:20",,,,,,,,
LAKEVIEW 1106,NON-HFTD,"10/10/2019
10:13",BAKERSFIELD,"10/11/2019
15:23",,,,,,,,
LAKEVILLE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:43",PETALUMA,"10/10/2019
18:22",,,,,,,,
LAKEWOOD 2107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:50","WALNUT CREEK,
LAFAYETTE,
PLEASANT HILL","10/10/2019
18:13",,,,,,,,
LAMONT 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:38",BAKERSFIELD,"10/11/2019
18:14",,,,,,,,
LAS AROMAS 0401*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:24",ORINDA,"10/11/2019
08:03",,,,,,,,
LAS POSITAS 2108*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:09",LIVERMORE,"10/10/2019
19:09",,,,,,,,
LINCOLN 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:41","LINCOLN, SHERIDAN","10/11/2019
12:49",,,,,,,,
LOGAN CREEK 2102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:20","ORLAND, WILLOWS,
ARTOIS","10/11/2019
09:53",,,,,,,,
LOS GATOS 1106*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:27","LOS GATOS,
REDWOOD ESTATES","10/10/2019
22:07",,,,,,,,
LOS GATOS 1107*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:05",LOS GATOS,"10/11/2019
15:59",,,,,,,,
LOS MOLINOS 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34","LOS MOLINOS, RED
BLUFF","10/10/2019
22:28",,,,,,,,
LOS MOLINOS 1102,NON-HFTD,"10/09/2019
00:36","LOS MOLINOS, VINA,
TEHAMA","10/10/2019
20:17",,,,,,,,
LOW GAP 1101,TIER 2,"10/09/2019
01:55","BRIDGEVILLE, MAD
RIVER, RUTH, ZENIA","10/10/2019
02:11",,,,,,,,
LUCERNE 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:07","NICE, UPPER LAKE,
LAKEPORT","10/11/2019
17:02",,,,,,,,
LUCERNE 1106,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:41","LUCERNE,
KELSEYVILLE,
GLENHAVEN","10/11/2019
17:36",,,,,,,,
MADISON 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:48","MADISON, ESPARTO,
WINTERS,
WOODLAND","10/10/2019
16:57",,,,,,,,
MADISON 2101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50","ESPARTO, GUINDA,
CAPAY, BROOKS,
RUMSEY","10/10/2019
18:29",,,,,,,,
MAPLE CREEK 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45","KNEELAND, KORBEL","10/10/2019
04:49",,,,,,,,
MARTELL 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","SUTTER CREEK,
VOLCANO","10/11/2019
17:07",,,,,,,,
MARTELL 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","JACKSON, MARTELL,
SUTTER CREEK","10/11/2019
13:30",,,,,,,,
MAXWELL 1105*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:06","SITES, MAXWELL","10/10/2019
18:26",,,,,,,,
MC KEE 1107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:13",SAN JOSE,"10/10/2019
18:25",,,,,,,,
MC KEE 1108*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:40",SAN JOSE,"10/10/2019
17:15",,,,,,,,
MC KEE 1111*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:57",SAN JOSE,"10/11/2019
11:45",,,,,,,,
MENLO 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:42","PORTOLA VALLEY,
WOODSIDE,
REDWOOD CITY, LA
HONDA","10/11/2019
13:07",,,,,,,,
MENLO 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:51","LA HONDA, LOS
GATOS","10/12/2019
12:25",,,,,,,,
MERCED FALLS 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:32","LA GRANGE,
COULTERVILLE,
SNELLING, MOCCASIN","10/11/2019
11:15",,,,,,,,
MIDDLETOWN 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31","MIDDLETOWN, COBB,
KELSEYVILLE,
CALISTOGA, LOCH
LOMOND","10/12/2019
11:17",,,,,,,,
MIDDLETOWN 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31","HIDDEN VALLEY
LAKE, MIDDLETOWN","10/11/2019
16:24",,,,,,,,
MIDDLETOWN 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:31",MIDDLETOWN,"10/12/2019
07:44",,,,,,,,
MILPITAS 1105*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:08",MILPITAS,"10/11/2019
20:00",,,,,,,,
MILPITAS 1108*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:05",SAN JOSE,"10/10/2019
19:34",,,,,,,,
MILPITAS 1109*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:24","MILPITAS, SAN JOSE,
SUNOL","10/11/2019
14:35",,,,,,,,
MIWUK SUB 1701,"TIER 3, TIER 2","10/09/2019
15:22","MI WUK VILLAGE,
TWAIN HARTE, LONG
BARN, TUOLUMNE","10/11/2019
18:50",,,,,,,,
MIWUK SUB 1702,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:22","TWAIN HARTE,
SONORA","10/11/2019
16:51",,,,,,,,
MONROE 2103,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:43",SANTA ROSA,"10/10/2019
15:34",,,,,,,,
MONTICELLO 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:35","NAPA, LAKE
BERRYESSA, SUISUN
CITY","10/11/2019
14:46",,,,,,,,
MORAGA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:50",ORINDA,"10/11/2019
09:44",,,,,,,,
MORAGA 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:51",ORINDA,"10/11/2019
09:24",,,,,,,,
MORAGA 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:52","MORAGA, ORINDA","10/10/2019
16:38",,,,,,,,
MORAGA 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:53","ORINDA, LAFAYETTE,
MORAGA","10/10/2019
19:23",,,,,,,,
MORAGA 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:55","MORAGA, CANYON","10/10/2019
19:24",,,,,,,,
MORGAN HILL 2104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:27",MORGAN HILL,"10/10/2019
18:38",,,,,,,,
MORGAN HILL 2111,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:42","MORGAN HILL, SAN
JOSE","10/11/2019
12:34",,,,,,,,
"MOUNTAIN QUARRIES
2101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:25","COOL, PILOT HILL,
GREENWOOD,
GEORGETOWN,
GARDEN VALLEY","10/11/2019
17:38",,,,,,,,
NAPA 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:29",NAPA,"10/11/2019
12:50",,,,,,,,
NAPA 1112,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33",NAPA,"10/11/2019
15:12",,,,,,,,
NARROWS 2101,TIER 2,"10/09/2019
03:44","BROWNS VALLEY,
SMARTVILLE","10/11/2019
14:39",,,,,,,,
NARROWS 2102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:49","PENN VALLEY,
NEVADA CITY,
SMARTVILLE","10/11/2019
17:42",,,,,,,,
NARROWS 2105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:40","PENN VALLEY, ROUGH
AND READY,
SMARTVILLE, GRASS
VALLEY","10/11/2019
15:47",,,,,,,,
NEWBURG 1131,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:12","FORTUNA, ALTON,
HYDESVILLE","10/10/2019
01:24",,,,,,,,
NEWBURG 1133,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:12",FORTUNA,"10/10/2019
00:29",,,,,,,,
NOTRE DAME 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:14",CHICO,"10/09/2019
14:30",,,,,,,,
NOTRE DAME 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:47","CHICO, FOREST
RANCH","10/11/2019
10:07",,,,,,,,
OLETA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:18","PLYMOUTH, SUTTER
CREEK, AMADOR CITY,
DRYTOWN, IONE","10/11/2019
15:20",,,,,,,,
OLETA 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:25","PLYMOUTH,
FIDDLETOWN, RIVER
PINES","10/12/2019
10:00",,,,,,,,
OREGON TRAIL 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:19","REDDING, SHASTA
LAKE","10/11/2019
17:36",,,,,,,,
OREGON TRAIL 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:39","REDDING, BELLA
VISTA","10/11/2019
11:32",,,,,,,,
OREGON TRAIL 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:39","REDDING, PALO
CEDRO","10/11/2019
17:05",,,,,,,,
ORICK 1101,NON-HFTD,"10/09/2019
00:49",ORICK,"10/10/2019
03:45",,,,,,,,
ORICK 1102,NON-HFTD,"10/09/2019
00:49","ORICK, TRINIDAD","10/10/2019
03:47",,,,,,,,
ORINDA 0401,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:50",ORINDA,"10/10/2019
20:52",,,,,,,,
ORINDA 0402,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:50",ORINDA,"10/10/2019
20:02",,,,,,,,
ORO FINO 1101,TIER 3,"10/09/2019
02:10",MAGALIA,"10/11/2019
15:07",,,,,,,,
ORO FINO 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:10","FOREST RANCH,
MAGALIA, BUTTE
MEADOWS, STIRLING
CITY","10/11/2019
17:48",,,,,,,,
OROVILLE 1104,NON-HFTD,"10/09/2019
00:21",OROVILLE,"10/09/2019
05:19",,,,,,,,
PANORAMA 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:16",ANDERSON,"10/11/2019
18:07",,,,,,,,
PARADISE 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:59",PARADISE,"10/11/2019
14:03",,,,,,,,
PARADISE 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:59",PARADISE,"10/11/2019
14:13",,,,,,,,
PARADISE 1105,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:59","MAGALIA, PARADISE","10/11/2019
14:31",,,,,,,,
PARADISE 1106,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:59",PARADISE,"10/11/2019
11:16",,,,,,,,
PAUL SWEET 2102*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:00",SANTA CRUZ,"10/10/2019
17:40",,,,,,,,
PAUL SWEET 2105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:12",SANTA CRUZ,"10/11/2019
10:46",,,,,,,,
PAUL SWEET 2106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:18","SOQUEL, CAPITOLA,
SANTA CRUZ","10/10/2019
19:51",,,,,,,,
PAUL SWEET 2107,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:00",SANTA CRUZ,"10/10/2019
16:50",,,,,,,,
PEABODY 2106,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:09","FAIRFIELD,
VACAVILLE","10/11/2019
08:36",,,,,,,,
PEABODY 2108,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:10",FAIRFIELD,"10/10/2019
18:06",,,,,,,,
PEABODY 2113,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:13","FAIRFIELD, SUISUN
CITY","10/11/2019
09:51",,,,,,,,
PENNGROVE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:30","PENNGROVE,
ROHNERT PARK,
COTATI, PETALUMA,
SANTA ROSA","10/11/2019
16:52",,,,,,,,
PENRYN 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:10","NEWCASTLE, PENRYN,
AUBURN, LOOMIS,
PILOT HILL","10/12/2019
09:39",,,,,,,,
PENRYN 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:17","PENRYN, NEWCASTLE,
LOOMIS, LINCOLN","10/11/2019
17:50",,,,,,,,
PENRYN 1106,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:20","LOOMIS, PENRYN","10/11/2019
16:40",,,,,,,,
PENRYN 1107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:10","LOOMIS, PENRYN,
GRANITE BAY,
NEWCASTLE","10/11/2019
14:57",,,,,,,,
PEORIA FLAT 1701,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:27","GROVELAND,
CHINESE CAMP,
JAMESTOWN","10/12/2019
09:27",,,,,,,,
PEORIA FLAT 1704,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:25","COPPEROPOLIS,
JAMESTOWN,
OAKDALE, KNIGHTS
FERRY","10/11/2019
16:07",,,,,,,,
PEORIA FLAT 1705,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:23","JAMESTOWN, SONORA","10/12/2019
10:21",,,,,,,,
PHILO 1101,TIER 2,"10/09/2019
00:31",YORKVILLE,"10/10/2019
18:49",,,,,,,,
PIERCY 2110,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:53",SAN JOSE,"10/10/2019
17:32",,,,,,,,
PIKE CITY 1101,TIER 3,"10/09/2019
02:24","CAMPTONVILLE,
NORTH SAN JUAN","10/11/2019
17:40",,,,,,,,
PIKE CITY 1102,TIER 3,"10/09/2019
02:24",CAMPTONVILLE,"10/12/2019
10:15",,,,,,,,
PINE GROVE 1101,TIER 2,"10/09/2019
00:31","PINE GROVE,
JACKSON, SUTTER
CREEK","10/11/2019
17:18",,,,,,,,
PINE GROVE 1102,"TIER 3, TIER 2","10/09/2019
00:32","PIONEER, PINE
GROVE, VOLCANO,
FIDDLETOWN,
SUTTER CREEK","10/12/2019
16:37",,,,,,,,
PINECREST 0401,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:31",PINECREST,"10/11/2019
17:48",,,,,,,,
PIT NO.5 1101,TIER 2,"10/09/2019
00:16",BIG BEND,"10/12/2019
12:42",,,,,,,,
PIT NO.7 1101ii,TIER 2,"10/08/2019
20:05","ROUND MOUNTAIN,
MONTGOMERY CREEK","10/11/2019
18:43",,,,,,,,
PLACER 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44",AUBURN,"10/10/2019
16:51",,,,,,,,
PLACER 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33",AUBURN,"10/10/2019
16:57",,,,,,,,
PLACER 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:25",AUBURN,"10/10/2019
16:16",,,,,,,,
PLACERVILLE 1109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:35",PLACERVILLE,"10/11/2019
17:09",,,,,,,,
PLACERVILLE 1110,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:35",PLACERVILLE,"10/11/2019
11:19",,,,,,,,
PLACERVILLE 1111,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:35",PLACERVILLE,"10/10/2019
17:50",,,,,,,,
PLACERVILLE 1112,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:35",PLACERVILLE,"10/10/2019
18:27",,,,,,,,
PLACERVILLE 2106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:35","PLACERVILLE,
GARDEN VALLEY,
GEORGETOWN,
KELSEY, COLOMA","10/12/2019
11:49",,,,,,,,
POINT MORETTI 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:49","SANTA CRUZ,
DAVENPORT","10/11/2019
11:25",,,,,,,,
POSO MOUNTAIN 2101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:29",BAKERSFIELD,"10/12/2019
05:25",,,,,,,,
POSO MOUNTAIN 2103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:23",BAKERSFIELD,"10/11/2019
18:21",,,,,,,,
POSO MOUNTAIN 2104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:18",BAKERSFIELD,"10/11/2019
19:59",,,,,,,,
"POTTER VALLEY P H
1104","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:26",POTTER VALLEY,"10/11/2019
08:59",,,,,,,,
"POTTER VALLEY P H
1105","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:26","POTTER VALLEY,
UKIAH, UPPER LAKE","10/11/2019
16:37",,,,,,,,
PUEBLO 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50",NAPA,"10/11/2019
10:29",,,,,,,,
PUEBLO 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:56",NAPA,"10/11/2019
16:06",,,,,,,,
PUEBLO 2101,NON-HFTD,"10/09/2019
00:40",NAPA,"10/10/2019
19:21",,,,,,,,
PUEBLO 2102*,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:25","NAPA, OAKVILLE,
YOUNTVILLE","10/11/2019
14:47",,,,,,,,
PUEBLO 2103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:40",NAPA,"10/11/2019
12:50",,,,,,,,
PUTAH CREEK 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34","WINTERS, VACAVILLE","10/11/2019
08:46",,,,,,,,
PUTAH CREEK 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:37",WINTERS,"10/10/2019
18:36",,,,,,,,
PUTAH CREEK 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:40","WINTERS, DAVIS,
WOODLAND","10/10/2019
18:33",,,,,,,,
RACETRACK SUB 1703,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28","SONORA, COLUMBIA","10/10/2019
17:45",,,,,,,,
RACETRACK SUB 1704,TIER 2,"10/09/2019
15:30","SONORA, JAMESTOWN","10/11/2019
17:55",,,,,,,,
RAWSON 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","RED BLUFF, SAN
PABLO","10/10/2019
18:39",,,,,,,,
RED BLUFF 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:38",RED BLUFF,"10/11/2019
10:41",,,,,,,,
RED BLUFF 1102,NON-HFTD,"10/09/2019
00:38",RED BLUFF,"10/10/2019
20:58",,,,,,,,
RED BLUFF 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:38",RED BLUFF,"10/11/2019
12:08",,,,,,,,
RED BLUFF 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:38","RED BLUFF,
COTTONWOOD","10/11/2019
13:19",,,,,,,,
RED BLUFF 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:38",RED BLUFF,"10/11/2019
14:19",,,,,,,,
REDBUD 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:15","CLEARLAKE OAKS,
GLENHAVEN","10/12/2019
06:12",,,,,,,,
REDBUD 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:15","CLEARLAKE,
CLEARLAKE OAKS,
CLEARLAKE PARK","10/11/2019
17:53",,,,,,,,
RIDGE 0401,TIER 2,"10/09/2019
22:49",BERKELEY,"10/10/2019
17:29",,,,,,,,
RINCON 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:05",SANTA ROSA,"10/10/2019
21:56",,,,,,,,
RINCON 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:26",SANTA ROSA,"10/11/2019
12:32",,,,,,,,
RINCON 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:15",SANTA ROSA,"10/11/2019
11:51",,,,,,,,
RIO DEL MAR 0401,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:20",APTOS,"10/10/2019
18:16",,,,,,,,
