time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,11.5,9.0,16.0,0.0,,340.0,5.5,,1011.8,,HALF MOON BAY,2020-10-25 22:00:00,HALF MOON BAY,2020-10-25 22:00:00,False
2020-10-21,12.1,7.0,18.0,0.0,,312.0,13.3,,1009.3,,HALF MOON BAY,2020-10-25 22:00:00,HALF MOON BAY,2020-10-25 22:00:00,False
2020-10-22,12.8,8.0,16.0,0.0,,305.0,15.1,,1010.4,,HALF MOON BAY,2020-10-25 22:00:00,HALF MOON BAY,2020-10-25 22:00:00,False
2020-10-23,14.3,10.0,18.0,0.0,,33.0,7.2,,1014.4,,HALF MOON BAY,2020-10-25 22:00:00,HALF MOON BAY,2020-10-25 22:00:00,False
2020-10-24,13.0,7.0,18.0,0.0,,307.0,4.7,,1014.8,,HALF MOON BAY,2020-10-25 22:00:00,HALF MOON BAY,2020-10-25 22:00:00,False
