time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,21.2,11.1,32.8,0.0,,349.0,5.3,,1011.3,,MONTICELLO,2020-10-25 17:01:00,MONTICELLO,2020-10-25 17:01:00,False
2020-10-21,22.6,13.3,33.3,0.0,,1.0,5.3,,1008.8,,MONTICELLO,2020-10-25 17:01:00,MONTICELLO,2020-10-25 17:01:00,False
2020-10-22,20.3,12.2,27.8,0.0,,0.0,14.3,,1010.3,,MONTICELLO,2020-10-25 17:01:00,MONTICELLO,2020-10-25 17:01:00,False
2020-10-23,16.2,7.2,25.6,0.0,,254.0,5.7,,1013.5,,MONTICELLO,2020-10-25 17:01:00,MONTICELLO,2020-10-25 17:01:00,False
2020-10-24,15.1,6.7,22.8,0.0,,245.0,9.9,,1013.7,,MONTICELLO,2020-10-25 17:01:00,MONTICELLO,2020-10-25 17:01:00,False
