time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-10-20,18.1,8.3,30.0,0.0,,193.0,7.0,,1010.9,
2020-10-21,18.4,10.0,29.4,0.0,,7.0,4.9,,1008.4,
2020-10-22,17.1,9.4,24.4,0.0,,193.0,8.8,,1009.5,
2020-10-23,14.0,7.2,22.2,0.0,,291.0,8.9,,1014.1,
2020-10-24,13.0,7.8,19.4,0.0,,293.0,9.4,,1014.3,
