time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-09,14.3,12.0,17.0,0.0,,325.0,9.7,,1014.4,,HALF MOON BAY,2020-10-14 20:03:00,HALF MOON BAY,2020-10-14 20:03:00,False
2020-10-10,14.9,12.0,17.0,0.0,,290.0,11.2,,1014.9,,HALF MOON BAY,2020-10-14 20:03:00,HALF MOON BAY,2020-10-14 20:03:00,False
2020-10-11,15.7,11.0,21.0,0.0,,344.0,14.4,,1018.3,,HALF MOON BAY,2020-10-14 20:03:00,HALF MOON BAY,2020-10-14 20:03:00,False
2020-10-12,15.3,8.0,24.0,0.0,,346.0,11.9,,1018.5,,HALF MOON BAY,2020-10-14 20:03:00,HALF MOON BAY,2020-10-14 20:03:00,False
2020-10-13,14.4,8.0,23.0,0.0,,346.0,9.9,,1018.0,,HALF MOON BAY,2020-10-14 20:03:00,HALF MOON BAY,2020-10-14 20:03:00,False
