time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-04,14.4,7.8,23.9,0.0,,,6.2,,1020.3,,HOPLAND1101,2019-10-09 02:56:00,HOPLAND1101,2019-10-09 02:56:00,False
2019-10-05,15.8,5.6,28.3,0.0,,,3.1,,1019.5,,HOPLAND1101,2019-10-09 02:56:00,HOPLAND1101,2019-10-09 02:56:00,False
2019-10-06,18.0,7.2,32.2,0.0,,,1.5,,1016.7,,HOPLAND1101,2019-10-09 02:56:00,HOPLAND1101,2019-10-09 02:56:00,False
2019-10-07,18.6,7.8,32.8,0.0,,,1.3,,1014.6,,HOPLAND1101,2019-10-09 02:56:00,HOPLAND1101,2019-10-09 02:56:00,False
2019-10-08,17.8,7.8,29.4,0.0,,,5.3,,1011.7,,HOPLAND1101,2019-10-09 02:56:00,HOPLAND1101,2019-10-09 02:56:00,False
