time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-04,15.6,11.1,22.8,0.0,0.0,296.0,17.6,,1020.3,,WOODSIDE1101,2019-10-09 23:00:00,WOODSIDE1101,2019-10-09 23:00:00,False
2019-10-05,16.5,11.1,26.7,0.0,0.0,280.0,9.0,,1019.3,,WOODSIDE1101,2019-10-09 23:00:00,WOODSIDE1101,2019-10-09 23:00:00,False
2019-10-06,19.9,12.8,30.6,0.0,0.0,306.0,6.8,,1016.7,,WOODSIDE1101,2019-10-09 23:00:00,WOODSIDE1101,2019-10-09 23:00:00,False
2019-10-07,20.8,12.8,28.9,0.0,0.0,324.0,10.1,,1014.7,,WOODSIDE1101,2019-10-09 23:00:00,WOODSIDE1101,2019-10-09 23:00:00,False
2019-10-08,18.9,13.3,25.0,0.0,0.0,295.0,17.6,,1011.9,,WOODSIDE1101,2019-10-09 23:00:00,WOODSIDE1101,2019-10-09 23:00:00,False
