time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-01-14,10.9,4.4,19.4,0.0,0.0,3.0,4.7,,1026.8,,TEJON,2021-01-19 06:52:00,LAMONT,2021-01-19 06:43:00,True
2021-01-15,11.6,5.0,21.7,0.0,0.0,17.0,6.1,,1025.5,,TEJON,2021-01-19 06:52:00,LAMONT,2021-01-19 06:43:00,True
2021-01-16,12.1,5.0,20.6,0.0,0.0,24.0,3.2,,1021.6,,TEJON,2021-01-19 06:52:00,LAMONT,2021-01-19 06:43:00,True
2021-01-17,13.1,5.6,21.1,0.0,0.0,350.0,6.5,,1018.5,,TEJON,2021-01-19 06:52:00,LAMONT,2021-01-19 06:43:00,True
2021-01-18,13.2,6.7,20.6,0.0,0.0,29.0,7.6,,1012.5,,TEJON,2021-01-19 06:52:00,LAMONT,2021-01-19 06:43:00,True
