time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-08-12,26.6,18.9,37.8,0.0,,203.0,8.7,,1011.6,,VACAVILLE,2021-08-17 18:28:00,VACAVILLE,2021-08-17 18:28:00,False
2021-08-13,26.0,17.8,36.1,0.0,,231.0,9.8,,1014.1,,VACAVILLE,2021-08-17 18:28:00,VACAVILLE,2021-08-17 18:28:00,False
2021-08-14,28.4,20.0,40.6,0.0,,211.0,8.6,,1014.4,,VACAVILLE,2021-08-17 18:28:00,VACAVILLE,2021-08-17 18:28:00,False
2021-08-15,26.8,17.8,37.8,0.0,,188.0,7.5,,1011.5,,VACAVILLE,2021-08-17 18:28:00,VACAVILLE,2021-08-17 18:28:00,False
2021-08-16,27.7,18.3,41.1,0.0,,212.0,10.0,,1006.3,,VACAVILLE,2021-08-17 18:28:00,VACAVILLE,2021-08-17 18:28:00,False
