time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-08-12,26.6,21.7,33.4,0.0,,257.0,7.9,,1015.0,,CALPINE,2021-08-17 20:00:00,CALPINE,2021-08-17 20:00:00,False
2021-08-13,24.2,16.0,32.2,0.0,,312.0,7.9,,1017.0,,CALPINE,2021-08-17 20:00:00,CALPINE,2021-08-17 20:00:00,False
2021-08-14,22.8,16.1,31.1,0.0,,318.0,7.8,,1016.8,,CALPINE,2021-08-17 20:00:00,CALPINE,2021-08-17 20:00:00,False
2021-08-15,24.3,17.2,33.9,0.0,,310.0,9.0,,1012.7,,CALPINE,2021-08-17 20:00:00,CALPINE,2021-08-17 20:00:00,False
2021-08-16,24.2,16.7,32.8,0.0,,306.0,8.9,,1009.4,,CALPINE,2021-08-17 20:00:00,CALPINE,2021-08-17 20:00:00,False
