time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,20.4,10.6,31.7,0.0,,,3.8,,1011.4,,NARROWS,2020-10-25 17:17:00,NARROWS,2020-10-25 17:17:00,True
2020-10-21,19.6,10.0,30.6,0.0,,,2.0,,1009.2,,NARROWS,2020-10-25 17:17:00,NARROWS,2020-10-25 17:17:00,True
2020-10-22,19.2,13.3,26.1,0.0,,338.0,17.4,,1010.5,,NARROWS,2020-10-25 17:17:00,NARROWS,2020-10-25 17:17:00,True
2020-10-23,16.8,7.2,25.6,0.0,,,5.9,,1013.4,,NARROWS,2020-10-25 17:17:00,NARROWS,2020-10-25 17:17:00,True
2020-10-24,15.3,7.2,23.9,0.0,,,8.2,,1014.0,,NARROWS,2020-10-25 17:17:00,NARROWS,2020-10-25 17:17:00,True
