time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,19.8,9.4,33.9,0.0,,355.0,1.3,,1011.9,,UKIAH,2020-10-25 15:22:00,UKIAH,2020-10-25 15:22:00,False
2020-10-21,19.0,8.9,31.1,0.0,,359.0,2.2,,1009.9,,UKIAH,2020-10-25 15:22:00,UKIAH,2020-10-25 15:22:00,False
2020-10-22,17.9,8.3,30.6,0.0,,355.0,1.1,,1010.3,,UKIAH,2020-10-25 15:22:00,UKIAH,2020-10-25 15:22:00,False
2020-10-23,15.3,6.1,26.7,0.0,,,2.7,,1013.5,,UKIAH,2020-10-25 15:22:00,UKIAH,2020-10-25 15:22:00,False
2020-10-24,13.7,6.1,22.8,0.0,,,4.8,,1013.9,,UKIAH,2020-10-25 15:22:00,UKIAH,2020-10-25 15:22:00,False
