time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-09-20,19.3,10.0,30.0,0.0,,,7.8,,1013.0,,CALISTOGA1101,2019-09-25 04:10:00,CALISTOGA1101,2019-09-25 04:10:00,False
2019-09-21,20.1,10.0,32.2,0.0,,,8.2,,1012.6,,CALISTOGA1101,2019-09-25 04:10:00,CALISTOGA1101,2019-09-25 04:10:00,False
2019-09-22,18.8,9.4,29.4,0.0,,,5.4,,1011.9,,CALISTOGA1101,2019-09-25 04:10:00,CALISTOGA1101,2019-09-25 04:10:00,False
2019-09-23,21.5,10.0,33.9,0.0,,,6.5,,1013.2,,CALISTOGA1101,2019-09-25 04:10:00,CALISTOGA1101,2019-09-25 04:10:00,False
2019-09-24,25.0,14.4,38.9,0.0,,,8.4,,1013.0,,CALISTOGA1101,2019-09-25 04:10:00,CALISTOGA1101,2019-09-25 04:10:00,False
