time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-07,16.6,14.3,24.3,15.1,,133.0,9.2,,1014.2,
2021-10-08,16.1,12.6,23.6,0.0,,139.0,15.6,,1017.1,
2021-10-09,17.1,13.5,27.4,0.0,,339.0,12.3,,1021.4,
2021-10-10,17.8,16.8,24.0,2.2,,35.0,9.4,,1017.6,
2021-10-11,15.9,15.6,23.6,15.2,,322.0,34.7,,1015.7,
2021-10-12,14.2,8.9,20.6,0.0,,321.0,18.2,,1017.3,
