time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-21,21.6,14.4,27.2,,,,4.5,,1023.3,,LAS PULGAS0401,2019-10-26 22:14:00,LAS PULGAS0401,2019-10-26 22:14:00,False
2019-10-22,22.8,17.8,28.3,,,,6.1,,1024.5,,LAS PULGAS0401,2019-10-26 22:14:00,LAS PULGAS0401,2019-10-26 22:14:00,False
2019-10-23,18.6,8.9,30.0,,,,5.8,,1011.9,,LAS PULGAS0401,2019-10-26 22:14:00,LAS PULGAS0401,2019-10-26 22:14:00,False
2019-10-24,21.9,13.9,27.2,,,,4.5,,1021.7,,LAS PULGAS0401,2019-10-26 22:14:00,LAS PULGAS0401,2019-10-26 22:14:00,False
2019-10-25,22.7,11.7,32.8,,,,7.0,,1014.1,,LAS PULGAS0401,2019-10-26 22:14:00,LAS PULGAS0401,2019-10-26 22:14:00,False
