,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
0,2020-10-20,19.4,16.7,23.9,0.0,,,8.9,,1011.3,,GANSNER,2020-10-25 14:53:00,ALLEGHANY,2020-10-25 14:14:00,True
1,2020-10-21,18.2,15.0,21.7,0.0,,,6.8,,1008.7,,GANSNER,2020-10-25 14:53:00,ALLEGHANY,2020-10-25 14:14:00,True
2,2020-10-22,15.7,12.8,20.0,0.0,,,5.6,,1009.4,,GANSNER,2020-10-25 14:53:00,ALLEGHANY,2020-10-25 14:14:00,True
3,2020-10-23,13.8,11.1,17.8,0.0,,,6.2,,1012.3,,GANSNER,2020-10-25 14:53:00,ALLEGHANY,2020-10-25 14:14:00,True
4,2020-10-24,12.1,9.4,16.1,0.0,,,5.9,,1012.8,,GANSNER,2020-10-25 14:53:00,ALLEGHANY,2020-10-25 14:14:00,True
