time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-04,16.1,9.0,24.0,,,,11.9,,1018.6,,HORSESHOE1104,2019-10-09 00:31:00,HORSESHOE1104,2019-10-09 00:31:00,False
2019-10-05,16.9,8.0,27.0,,,,3.7,,,,HORSESHOE1104,2019-10-09 00:31:00,HORSESHOE1104,2019-10-09 00:31:00,False
2019-10-06,19.1,10.0,29.0,,,,3.2,,,,HORSESHOE1104,2019-10-09 00:31:00,HORSESHOE1104,2019-10-09 00:31:00,False
2019-10-07,17.6,8.0,31.0,,,,4.1,,,,HORSESHOE1104,2019-10-09 00:31:00,HORSESHOE1104,2019-10-09 00:31:00,False
2019-10-08,21.1,12.0,30.0,,,,5.8,,1010.0,,HORSESHOE1104,2019-10-09 00:31:00,HORSESHOE1104,2019-10-09 00:31:00,False
