time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-21,18.5,9.0,32.0,,,,5.6,,,,OLEMA1101,2019-10-26 20:25:00,OLEMA1101,2019-10-26 20:25:00,True
2019-10-22,18.5,9.0,32.0,,,,3.6,,,,OLEMA1101,2019-10-26 20:25:00,OLEMA1101,2019-10-26 20:25:00,True
2019-10-23,20.6,8.0,31.0,,,,5.9,,,,OLEMA1101,2019-10-26 20:25:00,OLEMA1101,2019-10-26 20:25:00,True
2019-10-24,23.7,17.0,32.0,,,,10.7,,,,OLEMA1101,2019-10-26 20:25:00,OLEMA1101,2019-10-26 20:25:00,True
2019-10-25,18.2,9.0,30.0,,,,3.7,,,,OLEMA1101,2019-10-26 20:25:00,OLEMA1101,2019-10-26 20:25:00,True
