time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-10-06,18.4,14.0,26.0,0.0,,188.0,12.8,,1014.1,,MADISON,2021-10-11 06:33:00,MADISON,2021-10-11 06:33:00,False
2021-10-07,16.1,11.0,23.0,0.0,,174.0,10.2,,1014.3,,MADISON,2021-10-11 06:33:00,MADISON,2021-10-11 06:33:00,False
2021-10-08,14.8,11.0,20.0,0.1,,171.0,13.1,,1017.2,,MADISON,2021-10-11 06:33:00,MADISON,2021-10-11 06:33:00,False
2021-10-09,15.3,8.0,25.0,0.4,,327.0,9.2,,1021.5,,MADISON,2021-10-11 06:33:00,MADISON,2021-10-11 06:33:00,False
2021-10-10,17.0,7.0,27.0,0.0,,299.0,8.9,,1017.6,,MADISON,2021-10-11 06:33:00,MADISON,2021-10-11 06:33:00,False
