time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-21,17.4,7.2,32.8,,,,5.6,,1019.4,,HIGHWAY1105,2019-10-26 20:25:00,HIGHWAY1105,2019-10-26 20:25:00,False
2019-10-22,17.4,6.7,29.4,,,,4.7,,1019.3,,HIGHWAY1105,2019-10-26 20:25:00,HIGHWAY1105,2019-10-26 20:25:00,False
2019-10-23,20.0,8.3,31.7,,,,11.1,,1014.1,,HIGHWAY1105,2019-10-26 20:25:00,HIGHWAY1105,2019-10-26 20:25:00,False
2019-10-24,25.2,13.3,33.9,,,,11.6,,1015.1,,HIGHWAY1105,2019-10-26 20:25:00,HIGHWAY1105,2019-10-26 20:25:00,False
2019-10-25,17.6,7.8,29.4,,,,5.3,,1016.8,,HIGHWAY1105,2019-10-26 20:25:00,HIGHWAY1105,2019-10-26 20:25:00,False
