time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,,-4.0,1.3,2.9,,,3.6,,,,KANAKA,2020-10-25 14:00:00,KANAKA,2020-10-25 14:00:00,True
2020-10-21,,-5.1,-0.8,0.0,,,3.0,,,,KANAKA,2020-10-25 14:00:00,KANAKA,2020-10-25 14:00:00,True
2020-10-22,,-3.8,-1.4,2.8,,,5.6,,,,KANAKA,2020-10-25 14:00:00,KANAKA,2020-10-25 14:00:00,True
2020-10-23,,-13.3,-3.3,0.0,,,4.1,,,,KANAKA,2020-10-25 14:00:00,KANAKA,2020-10-25 14:00:00,True
2020-10-24,,-10.6,-4.3,0.8,,,5.0,,,,KANAKA,2020-10-25 14:00:00,KANAKA,2020-10-25 14:00:00,True
