time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-09,15.7,12.2,21.7,,,,5.5,,1015.0,,CAMP EVERS,2020-10-14 20:03:00,CAMP EVERS,2020-10-14 20:03:00,False
2020-10-10,16.3,11.7,23.3,0.0,,,6.2,,1015.4,,CAMP EVERS,2020-10-14 20:03:00,CAMP EVERS,2020-10-14 20:03:00,False
2020-10-11,18.8,13.9,26.1,0.0,,,5.2,,,,CAMP EVERS,2020-10-14 20:03:00,CAMP EVERS,2020-10-14 20:03:00,False
2020-10-12,18.5,11.1,31.1,0.0,,,6.0,,1018.1,,CAMP EVERS,2020-10-14 20:03:00,CAMP EVERS,2020-10-14 20:03:00,False
2020-10-13,18.8,10.0,31.1,0.0,,,5.4,,1017.7,,CAMP EVERS,2020-10-14 20:03:00,CAMP EVERS,2020-10-14 20:03:00,False
