time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,16.3,8.0,30.0,0.0,,193.0,3.9,,1010.9,,SONOMA,2020-10-25 15:19:00,SONOMA,2020-10-25 15:19:00,False
2020-10-21,16.8,8.0,30.0,0.0,,7.0,2.8,,1008.4,,SONOMA,2020-10-25 15:19:00,SONOMA,2020-10-25 15:19:00,False
2020-10-22,15.0,8.0,25.0,0.0,,193.0,8.8,,1009.5,,SONOMA,2020-10-25 15:19:00,SONOMA,2020-10-25 15:19:00,False
2020-10-23,14.3,10.0,22.0,0.0,,291.0,8.9,,,,SONOMA,2020-10-25 15:19:00,SONOMA,2020-10-25 15:19:00,False
2020-10-24,13.0,10.0,18.0,0.0,,293.0,4.6,,,,SONOMA,2020-10-25 15:19:00,SONOMA,2020-10-25 15:19:00,False
