time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-09-16,25.7,19.5,33.0,0.0,,261.0,17.0,,1010.4,,SCE TEHACHAPI,2021-09-21 01:09:00,SCE TEHACHAPI,2021-09-21 01:09:00,False
2021-09-17,23.6,15.0,31.0,0.0,,257.0,11.0,,1015.1,,SCE TEHACHAPI,2021-09-21 01:09:00,SCE TEHACHAPI,2021-09-21 01:09:00,False
2021-09-18,23.2,15.0,31.0,0.0,,255.0,19.7,,1017.2,,SCE TEHACHAPI,2021-09-21 01:09:00,SCE TEHACHAPI,2021-09-21 01:09:00,False
2021-09-19,21.3,19.0,26.0,0.0,,277.0,43.7,,1014.8,,SCE TEHACHAPI,2021-09-21 01:09:00,SCE TEHACHAPI,2021-09-21 01:09:00,False
2021-09-20,23.1,14.0,31.0,0.0,,34.0,15.2,,1016.3,,SCE TEHACHAPI,2021-09-21 01:09:00,SCE TEHACHAPI,2021-09-21 01:09:00,False
