time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2021-08-12,16.6,13.0,25.0,0.0,,283.0,16.4,,1015.4,,SILVERADO,2021-08-17 19:41:00,SILVERADO,2021-08-17 19:41:00,False
2021-08-13,16.8,13.0,22.0,0.0,,290.0,12.6,,1017.4,,SILVERADO,2021-08-17 19:41:00,SILVERADO,2021-08-17 19:41:00,False
2021-08-14,17.6,13.0,27.0,0.0,,319.0,8.2,,1017.6,,SILVERADO,2021-08-17 19:41:00,SILVERADO,2021-08-17 19:41:00,False
2021-08-15,18.3,13.0,28.0,0.0,,320.0,7.1,,1014.2,,SILVERADO,2021-08-17 19:41:00,SILVERADO,2021-08-17 19:41:00,False
2021-08-16,20.0,12.0,31.0,0.0,,322.0,6.9,,1009.2,,SILVERADO,2021-08-17 19:41:00,SILVERADO,2021-08-17 19:41:00,False
