time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-21,17.4,8.0,29.0,0.0,0.0,,1.7,,,,HOLLISTER2102,2019-10-26 20:41:00,HOLLISTER2102,2019-10-26 20:41:00,False
2019-10-22,18.8,8.0,31.0,0.0,0.0,,3.9,,,,HOLLISTER2102,2019-10-26 20:41:00,HOLLISTER2102,2019-10-26 20:41:00,False
2019-10-23,19.7,10.0,31.0,0.0,0.0,,5.0,,,,HOLLISTER2102,2019-10-26 20:41:00,HOLLISTER2102,2019-10-26 20:41:00,False
2019-10-24,20.7,11.7,35.0,0.0,0.0,,13.7,,,,HOLLISTER2102,2019-10-26 20:41:00,HOLLISTER2102,2019-10-26 20:41:00,False
2019-10-25,22.1,12.8,35.0,0.0,0.0,,11.9,,,,HOLLISTER2102,2019-10-26 20:41:00,HOLLISTER2102,2019-10-26 20:41:00,False
