time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-10-20,23.7,18.0,29.0,,,,0.0,,,,ELECTRA,2020-10-25 16:02:00,ELECTRA,2020-10-25 16:02:00,True
2020-10-21,22.6,17.0,28.0,,,,0.3,,,,ELECTRA,2020-10-25 16:02:00,ELECTRA,2020-10-25 16:02:00,True
2020-10-22,20.0,16.0,24.0,,,,7.5,,,,ELECTRA,2020-10-25 16:02:00,ELECTRA,2020-10-25 16:02:00,True
2020-10-23,16.9,12.0,22.0,,,,4.4,,,,ELECTRA,2020-10-25 16:02:00,ELECTRA,2020-10-25 16:02:00,True
2020-10-24,14.5,10.0,20.0,,,,8.8,,,,ELECTRA,2020-10-25 16:02:00,ELECTRA,2020-10-25 16:02:00,True
