time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2019-10-04,14.5,7.2,22.8,0.0,,,7.5,,1019.4,,CAMP EVERS2105,2019-10-09 22:44:00,CAMP EVERS2105,2019-10-09 22:44:00,False
2019-10-05,16.8,7.2,27.8,0.0,,,5.7,,1018.3,,CAMP EVERS2105,2019-10-09 22:44:00,CAMP EVERS2105,2019-10-09 22:44:00,False
2019-10-06,18.5,10.6,31.1,0.0,,,6.5,,1016.0,,CAMP EVERS2105,2019-10-09 22:44:00,CAMP EVERS2105,2019-10-09 22:44:00,False
2019-10-07,18.7,13.3,30.6,0.0,,,4.2,,1014.4,,CAMP EVERS2105,2019-10-09 22:44:00,CAMP EVERS2105,2019-10-09 22:44:00,False
2019-10-08,16.5,10.0,27.2,0.0,,,5.7,,,,CAMP EVERS2105,2019-10-09 22:44:00,CAMP EVERS2105,2019-10-09 22:44:00,False
