time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,circuit_name,deenergize_time,source_circuit_name,source_deenergize_time,approximated
2020-09-02,28.7,18.9,36.7,0.0,0.0,,6.5,,1013.5,,VOLTA,2020-09-07 15:25:00,WHITMORE,2020-09-07 17:29:00,True
2020-09-03,27.6,18.3,37.8,0.0,0.0,,5.8,,1013.1,,VOLTA,2020-09-07 15:25:00,WHITMORE,2020-09-07 17:29:00,True
2020-09-04,27.7,19.4,36.1,0.0,0.0,,3.2,,1012.6,,VOLTA,2020-09-07 15:25:00,WHITMORE,2020-09-07 17:29:00,True
2020-09-05,28.3,20.0,37.8,0.0,0.0,346.0,3.6,,1013.6,,VOLTA,2020-09-07 15:25:00,WHITMORE,2020-09-07 17:29:00,True
2020-09-06,29.9,18.9,43.9,0.0,0.0,331.0,7.6,,1013.4,,VOLTA,2020-09-07 15:25:00,WHITMORE,2020-09-07 17:29:00,True
