time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-10-05,17.0,7.8,27.8,0.0,0.0,336.0,6.2,,1018.6,
2019-10-06,19.4,10.6,28.9,0.0,0.0,292.0,5.9,,1016.1,
2019-10-07,20.6,12.2,31.7,0.0,0.0,304.0,4.9,,1013.9,
2019-10-08,19.8,11.1,32.2,0.0,0.0,311.0,7.0,,1010.8,
2019-10-09,17.0,8.3,25.0,0.0,0.0,295.0,10.4,,1011.5,
2019-10-10,18.0,10.0,23.9,0.0,0.0,5.0,12.3,,1014.6,
2019-10-11,15.6,7.8,25.6,0.0,0.0,302.0,4.8,,1015.3,
